Path,Path_Length,Edge,Edge_Label,Prot_A,Prot_B
ABL1 -> ATM -> TP53 -> PTGS2,4,ATM (interacts with) ABL1,Input_First_Neighbor,ATM,ABL1
ABL1 -> ATM -> TP53 -> PTGS2,4,TP53 (interacts with) ATM,First_Neighbor_Second,TP53,ATM
ABL1 -> ATM -> TP53 -> PTGS2,4,PTGS2 (interacts with) TP53,Second_Neighbor_Third,PTGS2,TP53
KMT2A -> CREB1 -> IL6,3,CREB1 (interacts with) KMT2A,Input_First_Neighbor,CREB1,KMT2A
KMT2A -> CREB1 -> IL6,3,IL6 (interacts with) CREB1,First_Neighbor_Second,IL6,CREB1
GAA -> HK1 -> BAX -> AFDN -> RAP1A -> PRKD1,6,HK1 (interacts with) GAA,Input_First_Neighbor,HK1,GAA
GAA -> HK1 -> BAX -> AFDN -> RAP1A -> PRKD1,6,BAX (interacts with) HK1,First_Neighbor_Second,BAX,HK1
GAA -> HK1 -> BAX -> AFDN -> RAP1A -> PRKD1,6,AFDN (interacts with) BAX,Second_Neighbor_Third,AFDN,BAX
GAA -> HK1 -> BAX -> AFDN -> RAP1A -> PRKD1,6,RAP1A (interacts with) AFDN,Third_Neighbor_Fourth,RAP1A,AFDN
GAA -> HK1 -> BAX -> AFDN -> RAP1A -> PRKD1,6,PRKD1 (interacts with) RAP1A,Fourth_Neighbor_Fifth,PRKD1,RAP1A
KMT2A -> CREBBP -> FOXO1 -> STK4,4,CREBBP (interacts with) KMT2A,Input_First_Neighbor,CREBBP,KMT2A
KMT2A -> CREBBP -> FOXO1 -> STK4,4,FOXO1 (interacts with) CREBBP,First_Neighbor_Second,FOXO1,CREBBP
KMT2A -> CREBBP -> FOXO1 -> STK4,4,STK4 (interacts with) FOXO1,Second_Neighbor_Third,STK4,FOXO1
MEN1 -> CTNNB1 -> EP300,3,CTNNB1 (interacts with) MEN1,Input_First_Neighbor,CTNNB1,MEN1
MEN1 -> CTNNB1 -> EP300,3,EP300 (interacts with) CTNNB1,First_Neighbor_Second,EP300,CTNNB1
TSHR -> IGHV3-16 -> TNF,3,IGHV3-16 (interacts with) TSHR,Input_First_Neighbor,IGHV3-16,TSHR
TSHR -> IGHV3-16 -> TNF,3,TNF (interacts with) IGHV3-16,First_Neighbor_Second,TNF,IGHV3-16
HDAC6 -> MAPT -> PRKACA -> GRIN2A,4,MAPT (interacts with) HDAC6,Input_First_Neighbor,MAPT,HDAC6
HDAC6 -> MAPT -> PRKACA -> GRIN2A,4,PRKACA (interacts with) MAPT,First_Neighbor_Second,PRKACA,MAPT
HDAC6 -> MAPT -> PRKACA -> GRIN2A,4,GRIN2A (interacts with) PRKACA,Second_Neighbor_Third,GRIN2A,PRKACA
