Nodes,Observed_Path_Frequency,Expected_Random_Frequency,Empirical_P_Value,Fold_Enrichment
TP53,84112.0,11277.7198,9.999000099990002e-05,7.458245238545472
JAK2,52775.0,2725.3335,9.999000099990002e-05,19.364602533965108
PRKACA,51937.0,7478.2426,9.999000099990002e-05,6.9450809204825745
GNB1,45037.0,7745.0889,9.999000099990002e-05,5.8149106590629325
EGFR,40614.0,5522.9091,9.999000099990002e-05,7.3537331983247745
GNAI1,28779.0,5250.4195,9.999000099990002e-05,5.4812763056361495
CTNNB1,25184.0,3813.4944,9.999000099990002e-05,6.603916869525231
SRC,24225.0,4902.9336,9.999000099990002e-05,4.940919452794547
IGHV3-43D,23718.0,1010.3666,9.999000099990002e-05,23.474647716977184
PCNA,23555.0,3387.5646,9.999000099990002e-05,6.953372933463763
HSP90AA1,21652.0,1977.1209,9.999000099990002e-05,10.95127768868358
APP,21267.0,1535.9983,9.999000099990002e-05,13.845718449037346
CASP3,19232.0,1820.4151,9.999000099990002e-05,10.564623420229815
CHRNA3,16768.0,180.0105,9.999000099990002e-05,93.15012179845064
UBE2I,16259.0,800.7466,9.999000099990002e-05,20.30480054489148
NFE2L2,14400.0,387.818,9.999000099990002e-05,37.13081909555513
MOB1A,10363.0,133.5005,9.999000099990002e-05,77.62517743379239
MLKL,9330.0,283.1248,9.999000099990002e-05,32.95366566263358
FAU,51788.0,18880.6815,0.00019998000199980003,2.7429094654236925
PLK1,25971.0,5180.1936,0.00019998000199980003,5.013519185846645
XBP1,24004.0,5232.1888,0.00019998000199980003,4.587754937283608
IGHV3-16,14995.0,1200.6536,0.00019998000199980003,12.489030974462574
B2M,13247.0,1489.8575,0.00019998000199980003,8.89145438406022
CDIPT,12770.0,986.6782,0.00019998000199980003,12.942416281215092
BAX,11761.0,886.3439,0.00019998000199980003,13.269115971802819
GNAQ,21518.0,3451.9155,0.00029997000299970003,6.233640423700986
GCG,14356.0,865.9554,0.00029997000299970003,16.578221003067824
ATM,13738.0,1344.7607,0.00029997000299970003,10.215943996578721
RNASEH1,278.0,6.8773,0.00029997000299970003,40.42284035886176
ACTB,32084.0,9940.1874,0.00039996000399960006,3.2277057472779638
PLCG1,18186.0,2976.2316,0.00039996000399960006,6.110411568777107
ARRB1,10775.0,884.5791,0.00039996000399960006,12.180934412761957
PFAS,463.0,8.5556,0.00039996000399960006,54.11660199167797
SURF4,423.0,8.632,0.00039996000399960006,49.00370713623726
MAPK1,26720.0,7147.2772,0.0004999500049995,3.738486594587376
PTGES3,15016.0,1494.2906,0.0004999500049995,10.048915518842184
PPP1CA,14273.0,1654.4734,0.0004999500049995,8.626914158910019
MAPT,13954.0,1245.3702,0.0004999500049995,11.204700417594703
HK1,11865.0,1138.9482,0.0004999500049995,10.417506257088776
GNA11,10101.0,668.9505,0.0004999500049995,15.099771956220975
KCNA4,1070.0,14.6431,0.0004999500049995,73.07195880653687
AKT1,15570.0,2360.347,0.0005999400059994001,6.596487719814077
STAT4,11839.0,1130.0256,0.0005999400059994001,10.476753800975837
C1QBP,1210.0,23.7243,0.0005999400059994001,51.002558558102876
YWHAZ,12283.0,1151.1639,0.0006999300069993001,10.670070526012847
STAT3,11400.0,1325.4922,0.0006999300069993001,8.600578713326266
SLC7A11,623.0,6.9754,0.0006999300069993001,89.3138744731485
USP47,558.0,15.7227,0.0006999300069993001,35.49008758037742
BCL2L14,440.0,8.7539,0.0006999300069993001,50.263311209860746
C2CD5,409.0,15.9533,0.0006999300069993001,25.637328953884147
PPP2CA,20295.0,4413.1107,0.0007999200079992001,4.598796943842809
ESR1,13011.0,2156.805,0.0007999200079992001,6.032534234666556
FOXO1,12774.0,1614.9523,0.0007999200079992001,7.9098311448579635
CHKA,2622.0,75.901,0.0007999200079992001,34.54499940712244
ABL1,10627.0,1167.207,0.0008999100089991,9.10464039369195
GAL,4562.0,65.6053,0.0008999100089991,69.53706484079792
IL1RAPL1,1283.0,17.6451,0.0008999100089991,72.71140429921054
AUP1,623.0,20.4527,0.0008999100089991,30.460525994123024
FCGR2A,1428.0,30.7954,0.000999900009999,46.370561837157496
NQO1,1330.0,31.2126,0.000999900009999,42.610996841019336
HSPA8,11015.0,1301.7751,0.0010998900109989002,8.46152303881062
DLG4,8741.0,433.8415,0.0010998900109989002,20.147911161103767
PDIA6,324.0,14.6937,0.0010998900109989002,22.050266440719493
CALM1,10967.0,1518.7945,0.0011998800119988001,7.220858384725518
ACO2,9788.0,1069.9055,0.0011998800119988001,9.148471523886922
TP53BP1,9486.0,751.4637,0.0011998800119988001,12.623364242344639
GALT,2441.0,58.6323,0.0011998800119988001,41.63234258250145
TTF2,2124.0,52.5788,0.0011998800119988001,40.39650961984678
CALD1,688.0,23.7453,0.0011998800119988001,28.974154885387843
BRCA1,17697.0,3133.2345,0.0012998700129987,5.648156880693098
SHMT2,10032.0,1255.7142,0.0012998700129987,7.989079043623144
SDHA,9708.0,981.2668,0.0012998700129987,9.893333800756329
PCYT1A,2823.0,78.2309,0.0012998700129987,36.085485402826755
IFNGR2,1416.0,50.3186,0.0012998700129987,28.14068753900148
PAPSS2,484.0,22.1889,0.0012998700129987,21.81270815587974
RNASEH2A,385.0,31.1697,0.0012998700129987,12.351739028607911
NSDHL,332.0,14.4473,0.0012998700129987,22.98007240107148
NEK9,4093.0,27.1696,0.0013998600139986002,150.64631058241565
SERPINA1,513.0,19.7013,0.0013998600139986002,26.038890834614975
RHOA,12500.0,2742.5249,0.0014998500149985001,4.5578437592307735
TIGAR,2554.0,97.0103,0.0014998500149985001,26.32710134903201
TXNRD2,977.0,46.7168,0.0014998500149985001,20.913247482704296
TP53RK,5711.0,90.354,0.0015998400159984002,63.20694158531997
TPSAB1,3002.0,28.4455,0.0015998400159984002,105.5351461566856
PLA2G4B,1838.0,63.7506,0.0015998400159984002,28.831101197478926
NDE1,1819.0,70.2237,0.0015998400159984002,25.902935903405833
ACIN1,1800.0,52.1459,0.0015998400159984002,34.51853357598584
TXN2,1497.0,75.2442,0.0015998400159984002,19.895221159903354
TFRC,1045.0,38.0143,0.0015998400159984002,27.48965520869778
ADD1,717.0,42.5054,0.0015998400159984002,16.868444950523934
DHDH,508.0,20.3633,0.0015998400159984002,24.946840639778426
PAPSS1,439.0,17.374,0.0015998400159984002,25.267641303096582
KDELR3,264.0,15.204,0.0015998400159984002,17.363851617995262
VWF,1280.0,65.3219,0.0016998300169983002,19.595265906227468
NGF,919.0,44.6655,0.0016998300169983002,20.57516427667887
RAB13,633.0,42.8745,0.0016998300169983002,14.764020571668475
KHDC3L,456.0,28.8354,0.0016998300169983002,15.813895420212654
COPG1,3335.0,153.6647,0.0017998200179982,21.703097718604205
IL13,1393.0,66.2162,0.0017998200179982,21.03714800909747
RABGGTA,821.0,54.2703,0.0017998200179982,15.127979760568856
SLC9A3R1,702.0,51.6758,0.0017998200179982,13.58469535062834
SEC61B,16979.0,3268.623,0.0018998100189981002,5.194542166533124
GRM5,2785.0,71.4497,0.0018998100189981002,38.97847016852415
KLF4,1640.0,96.0927,0.0018998100189981002,17.06685315325722
FTH1,864.0,28.8667,0.0018998100189981002,29.93068137334714
CES1,463.0,42.2871,0.0018998100189981002,10.94896552376493
A2M,260.0,15.2734,0.0018998100189981002,17.023059698560896
MRTFA,4056.0,90.2185,0.001999800019998,44.95751979915427
TXNRD1,2904.0,93.8987,0.001999800019998,30.92694574046286
PEX5,2731.0,75.8745,0.001999800019998,35.99364740459575
PDE4D,1232.0,60.1651,0.001999800019998,20.476987489424932
ADHFE1,1188.0,67.1511,0.001999800019998,17.691445114078547
KCND2,643.0,47.0671,0.001999800019998,13.661347310541757
APBB1,630.0,55.6539,0.001999800019998,11.319961404322068
CCAR2,625.0,42.7656,0.001999800019998,14.614550012159306
PAX6,621.0,47.9745,0.001999800019998,12.94437670012194
FKBP6,385.0,26.149,0.001999800019998,14.723316379211441
GYG1,3534.0,145.7458,0.0020997900209979003,24.247697017684214
AAMP,2580.0,61.7229,0.0020997900209979003,41.799721011164415
MYO5A,859.0,58.4016,0.0020997900209979003,14.708501136955151
TTC4,363.0,23.3913,0.0020997900209979003,15.518590245091122
CAMLG,257.0,16.141,0.0020997900209979003,15.92218573818227
NSMAF,235.0,18.9815,0.0020997900209979003,12.380475726365145
PDE6D,8022.0,212.8766,0.0021997800219978004,37.68380366841635
HACL1,888.0,65.6084,0.0021997800219978004,13.534852244529663
PPA1,819.0,44.2343,0.0021997800219978004,18.515043755637596
TYR,752.0,53.065,0.0021997800219978004,14.171299349853953
ACHE,704.0,56.4972,0.0021997800219978004,12.460794517250413
S100A4,541.0,41.4172,0.0021997800219978004,13.062206040002703
FYN,10395.0,1695.4243,0.0022997700229977,6.131208571211348
CCKBR,498.0,38.9917,0.0022997700229977,12.771948901945798
BABAM1,2347.0,86.6116,0.0023997600239976003,27.097986874737334
TRPV2,435.0,22.3315,0.0023997600239976003,19.479210980005824
COMMD5,311.0,28.2136,0.0023997600239976003,11.023052712167182
PRKN,9460.0,1027.1872,0.0024997500249975004,9.20961631920647
KIF23,705.0,53.9979,0.0024997500249975004,13.056063291350219
FREM2,684.0,52.6218,0.0024997500249975004,12.998415105526608
N6AMT1,293.0,29.3661,0.0024997500249975004,9.97749105260828
CREBBP,17700.0,4548.0814,0.0025997400259974,3.891750926005854
MOCS2,4438.0,94.1408,0.0025997400259974,47.142153030354535
CTSD,700.0,61.8449,0.0025997400259974,11.318637430087202
PLA2G4A,551.0,61.8023,0.0025997400259974,8.915525797583586
DPH1,230.0,14.2403,0.0025997400259974,16.151345126156052
PARK7,3395.0,125.4006,0.0026997300269973002,27.073235694247078
ACKR3,629.0,45.7936,0.0026997300269973002,13.73554383145243
DNAJA1,289.0,23.4011,0.0026997300269973002,12.349846802073406
USP21,2020.0,40.7338,0.0027997200279972004,49.59026655995758
LIG3,1560.0,74.4998,0.0027997200279972004,20.939653529271222
NUDT15,929.0,81.0682,0.0027997200279972004,11.459487197199394
EARS2,814.0,41.6248,0.0027997200279972004,19.555649516634315
MIF,808.0,56.3887,0.0027997200279972004,14.329112038404858
GRP,279.0,23.7972,0.0027997200279972004,11.724068377792346
GYS1,5095.0,240.5092,0.0028997100289971,21.184220811511576
TXN,3593.0,119.1264,0.0028997100289971,30.161240497488382
SEPTIN9,2942.0,142.7358,0.0028997100289971,20.61150741439779
EBI3,948.0,79.3791,0.0028997100289971,11.942690204348501
NAA10,764.0,65.4687,0.0028997100289971,11.669698649889185
FGFR1OP,346.0,28.3818,0.0028997100289971,12.190911076816834
CYP27B1,322.0,25.9238,0.0028997100289971,12.421018523518928
BMX,229.0,14.6346,0.0028997100289971,15.647848250037582
IDE,4398.0,212.294,0.0029997000299970002,20.71655345888249
RNF8,2072.0,148.4684,0.0029997000299970002,13.95583167866024
HEY1,286.0,25.3682,0.0029997000299970002,11.273957158962796
GSTP1,4856.0,220.1766,0.0031996800319968005,22.055023104180915
HMGCR,3375.0,175.122,0.0031996800319968005,19.2722787542399
GFPT1,3268.0,266.618,0.0031996800319968005,12.257236945742598
HSD3B1,2863.0,152.7965,0.0031996800319968005,18.73734018776608
TH,2328.0,142.7044,0.0031996800319968005,16.313442332541953
BGLAP,615.0,45.5007,0.0031996800319968005,13.51627557378238
CEP164,361.0,35.5278,0.0031996800319968005,10.16105697510119
GP1BA,337.0,35.0932,0.0031996800319968005,9.603000011398219
CBR4,290.0,23.7007,0.0031996800319968005,12.235925521187138
DYRK1A,265.0,20.835,0.0031996800319968005,12.718982481401488
RACGAP1,787.0,63.431,0.0032996700329967,12.407182607873123
UNC5A,648.0,65.442,0.0032996700329967,9.90189786375722
ABCD3,321.0,23.9985,0.0032996700329967,13.37583598974936
MAPK8,19880.0,7046.6193,0.0033996600339966003,2.8212110167495497
IDI1,1687.0,114.694,0.0033996600339966003,14.70870315796816
ANKRD9,706.0,78.6204,0.0033996600339966003,8.979857645089568
NAP1L1,377.0,40.6681,0.0033996600339966003,9.270165067952522
APBB2,283.0,21.3882,0.0033996600339966003,13.231594991630898
PSPH,6047.0,287.8039,0.0034996500349965005,21.01083411308881
UBE2G2,1001.0,77.1957,0.0034996500349965005,12.967043501127653
ADAM22,305.0,33.381,0.0034996500349965005,9.136934184116713
TBC1D14,253.0,22.9663,0.0034996500349965005,11.016141041438978
CD27,234.0,16.4316,0.0034996500349965005,14.240852990579128
GNB5,5836.0,300.2777,0.0035996400359964,19.43534268445509
ADGRD1,2061.0,116.0217,0.0035996400359964,17.763918301490154
RIDA,346.0,39.6699,0.0035996400359964,8.721978124472207
PRKAG1,3300.0,205.1031,0.0036996300369963003,16.089469149905582
OAT,1578.0,136.9273,0.0036996300369963003,11.524363658671426
IL1B,1266.0,131.8368,0.0036996300369963003,9.602781620913127
IGFBP3,362.0,31.3121,0.0036996300369963003,11.561025929273347
ADGRB1,235.0,20.5372,0.0036996300369963003,11.44265040998773
ADCY1,4154.0,256.5284,0.0037996200379962005,16.19313884934378
USP10,411.0,41.0246,0.0037996200379962005,10.018379216372615
ATP12A,5987.0,309.9143,0.0038996100389961006,19.318243785459398
NPR1,2869.0,221.9133,0.0038996100389961006,12.928472516068213
L1CAM,1673.0,147.5401,0.0038996100389961006,11.339290131970902
IFT57,981.0,102.0189,0.0038996100389961006,9.615865295548177
PGM5,592.0,85.4942,0.0038996100389961006,6.9244463367105595
CD244,368.0,38.4265,0.0038996100389961006,9.576724395924687
ANGPT2,288.0,28.4486,0.0038996100389961006,10.123521016851445
ARL3,2161.0,59.438,0.003999600039996,36.357212557623065
TNKS,347.0,41.8838,0.003999600039996,8.28482611415392
CD226,340.0,33.5294,0.003999600039996,10.140354435212082
GNAS,12786.0,3612.2962,0.0040995900409959,3.539576848653773
PKLR,11388.0,2284.5246,0.0040995900409959,4.984844549277342
