"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.0483316066232e-27,34,530,13.8475258098968,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  ERBB2  FOXO1  FOS  ABL1  GNAQ  GSTA2  GSTM1  GSTP1  IL6  ITGB1  JAK1  JAK2  JUN  NFE2L2  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  RELA  STAT3  STAT4  STAT5B  STK4  TP53  TRAF2  CASP3"
2.43206890528106e-19,20,197,21.9145675701561,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A2  CYP2B6  CYP3A4  EGFR  EPHX2  FOS  GSTA2  GSTM1  JAK2  JUN  PIK3R1  PRKACB  PRKACG  PRKCA  PRKCB  RELA  STAT3  STAT5B"
3.64103126090911e-18,18,162,23.9842767295597,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  FOS  IL6  JAK1  JAK2  JUN  PIK3R1  PRKCA  PRKCB  MAPK8  RELA  STAT3  STAT4  STAT5B  TP53  CASP3"
1.47229863838571e-17,16,120,28.7811320754717,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  EP300  FOS  SHC2  GNAQ  JAK2  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  STAT3  STAT5B"
1.47229863838571e-17,19,214,19.165006171751,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," NLRP3  CYP2A6  CYP2B6  CYP2C9  FOS  IL6  JAK2  JUN  NFE2L2  PIK3R1  PLCB3  PRKCA  MAPK8  RAP1B  RELA  STAT3  TP53  TRAF2  CASP3"
4.90707259581539e-17,18,194,20.0281073721066,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  FOS  IL6  JAK1  JAK2  JUN  PIK3R1  MAPK8  PTGS2  RELA  STAT3  TP53  TRAF2  UBC  CASP3"
5.60596878868175e-16,18,224,17.3457715633423,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  GNAQ  IL6  JAK1  PIK3R1  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  RELA  STAT3  TP53  TRAF2  CASP3"
1.89375709791509e-15,17,202,18.1663086119933,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  JAK1  JUN  PIK3R1  PRKACB  PRKACG  RELA  STAT3  STAT5B  TP53  TRAF2  YWHAG  CASP3  H4C6  H2BC11"
2.31559192553655e-15,18,246,15.794523699954,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," NLRP3  EGFR  FOXO1  FOXO3  HK2  HK3  ITGB1  JUN  ATM  PIK3R1  PLCB3  MAPK8  RELA  ACTB  TP53  TRAF2  UBC  H3C8"
2.68109928446173e-15,36,1538,5.05260446058346,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CBS  CDIPT  PTGES3  CYP1A2  CYP2A6  CYP2B6  CYP2C9  CYP3A4  ALDH1L2  EPHX2  ALDH1A1  SIRT1  G6PD  GAA  GSR  GSS  GSTA2  GSTM1  GSTP1  GYG1  GYS2  HK2  HK3  KMT2A  ENPP3  PLCB3  PSPH  PTGS2  PYGB  SRR  SHMT2  TALDO1  GGCT  EHMT1  NUDT12  CD38"
