"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.48717534836878e-24,32,530,12.7916142557652,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  FOXO1  MTOR  ABL1  GNAQ  GNB1  GSTM1  GSTP1  IL6  IL6R  JAK1  JAK2  JUN  NFE2L2  NFKB1  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  MAPK8  PTGS2  BAX  STAT3  STK4  TP53  TRAF2  CAMK2A  CASP3"
2.58611308084923e-22,22,194,24.0254868270332,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  MTOR  GNB1  IL6  JAK1  JAK2  JUN  NFKB1  NRAS  PIK3R1  PLCG1  MAPK8  PTGS2  BAX  STAT3  TP53  TRAF2  UBC  CASP3"
1.38867358822825e-19,19,161,25.002242926156,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  EGFR  EP300  SIRT1  MTOR  ABL1  ATM  NFKB1  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  PTGS2  SHC1  BRCA1  STAT3  TP53  CASP3"
2.42754402908401e-18,20,224,18.9161706349206,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  MTOR  GNAQ  GNB1  IL6  IL6R  JAK1  NFKB1  NRAS  PIK3R1  PRKCA  PRKCG  PTGS2  BAX  STAT3  TP53  TRAF2  CASP3"
2.0217043310291e-17,19,214,18.8100986500519,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CYP1A1  CYP2B6  IL6  JAK2  JUN  NFE2L2  NFKB1  NRAS  PIK3R1  PLCG1  PRKCA  MAPK8  BAX  RAP1A  STAT3  TP53  TRAF2  CAMK2A  CASP3"
4.67187931595565e-17,14,79,37.5450070323488,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EGFR  MTOR  IL6  IL6R  JAK1  JAK2  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  BAX  SHC1  STAT3"
6.90959140032049e-17,17,162,22.2323388203018,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  IL6  JAK1  JAK2  JUN  NFKB1  NRAS  PIK3R1  PRKCA  PRKCG  MAPK8  BAX  STAT3  TP53  CASP3"
6.93444890701166e-17,18,197,19.3578680203046,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A1  CYP1A2  CYP2B6  CYP3A4  EGFR  EPHX2  MTOR  GSTM1  JAK2  JUN  NFKB1  NRAS  PIK3R1  PRKCA  PRKCG  STAT3"
1.02017521917216e-15,14,100,29.6605555555556,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," FOXO1  IL6  JAK2  JUN  NFKB1  NRAS  PLCE1  PIK3R1  PLCG1  PRKCA  MAPK8  BAX  STAT3  CASP3"
3.2179825754729e-15,14,109,27.2115188583078,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," CREBBP  EGFR  EP300  MTOR  HK1  IL6  IL6R  NFKB1  PIK3R1  PLCG1  PRKCA  PRKCG  STAT3  CAMK2A"
