Path,Path_Length,Edge,Edge_Label,Prot_A,Prot_B
HDAC6 -> EGFR -> PRKCA -> PRKD1,4,PRKCA (interacts with) EGFR,First_Neighbor_Second,PRKCA,EGFR
ALDH1A1 -> EPHX2 -> PRKAG1 -> MTOR -> PRKCA -> PRKD1,6,PRKAG1 (interacts with) EPHX2,First_Neighbor_Second,PRKAG1,EPHX2
ALDH1A1 -> EPHX2 -> PRKAG1 -> MTOR -> PRKCA -> PRKD1,6,MTOR (interacts with) PRKAG1,Second_Neighbor_Third,MTOR,PRKAG1
ALDH1A1 -> EPHX2 -> PRKAG1 -> MTOR -> PRKCA -> PRKD1,6,PRKCA (interacts with) MTOR,Third_Neighbor_Fourth,PRKCA,MTOR
TSHR -> GNAS -> GNB5 -> PCNA -> PARP1,5,GNB5 (interacts with) GNAS,First_Neighbor_Second,GNB5,GNAS
TSHR -> GNAS -> GNB5 -> PCNA -> PARP1,5,PCNA (interacts with) GNB5,Second_Neighbor_Third,PCNA,GNB5
TSHR -> GNAS -> GNB5 -> PCNA -> PARP1,5,PARP1 (interacts with) PCNA,Third_Neighbor_Fourth,PARP1,PCNA
GAA -> HK1 -> BAX -> SFN -> FOXO1 -> STK4,6,BAX (interacts with) HK1,First_Neighbor_Second,BAX,HK1
GAA -> HK1 -> BAX -> SFN -> FOXO1 -> STK4,6,SFN (interacts with) BAX,Second_Neighbor_Third,SFN,BAX
GAA -> HK1 -> BAX -> SFN -> FOXO1 -> STK4,6,FOXO1 (interacts with) SFN,Third_Neighbor_Fourth,FOXO1,SFN
GAA -> HK1 -> BAX -> SFN -> FOXO1 -> STK4,6,STK4 (interacts with) FOXO1,Fourth_Neighbor_Fifth,STK4,FOXO1
TSHR -> GNB1 -> FAU -> HSD3B1 -> CYP1A1 -> GSTM1,6,FAU (interacts with) GNB1,First_Neighbor_Second,FAU,GNB1
TSHR -> GNB1 -> FAU -> HSD3B1 -> CYP1A1 -> GSTM1,6,HSD3B1 (interacts with) FAU,Second_Neighbor_Third,HSD3B1,FAU
HDAC6 -> PTGES3 -> PTGS2,3,PTGS2 (interacts with) PTGES3,First_Neighbor_Second,PTGS2,PTGES3
ABL1 -> PIK3R1 -> TRAF2 -> GSTP1 -> GSTM1,5,GSTP1 (interacts with) TRAF2,Second_Neighbor_Third,GSTP1,TRAF2
GAA -> HK1 -> BAX -> TP53 -> EP300,5,TP53 (interacts with) BAX,Second_Neighbor_Third,TP53,BAX
GAA -> HK1 -> BAX -> TP53 -> EP300,5,EP300 (interacts with) TP53,Third_Neighbor_Fourth,EP300,TP53
KMT2A -> CREB1 -> IL6,3,IL6 (interacts with) CREB1,First_Neighbor_Second,IL6,CREB1
ALDH1A1 -> CYP1A1 -> GSTP1 -> TRAF2 -> TNF,5,TNF (interacts with) TRAF2,Third_Neighbor_Fourth,TNF,TRAF2
ABL1 -> TP73 -> EP300,3,TP73 (interacts with) ABL1,Input_First_Neighbor,TP73,ABL1
ABL1 -> TP73 -> EP300,3,EP300 (interacts with) TP73,First_Neighbor_Second,EP300,TP73
TSHR -> GCG -> PAX6 -> EP300,4,PAX6 (interacts with) GCG,First_Neighbor_Second,PAX6,GCG
TSHR -> GCG -> PAX6 -> EP300,4,EP300 (interacts with) PAX6,Second_Neighbor_Third,EP300,PAX6
MEN1 -> CTNNB1 -> CASP3 -> PARP1,4,CASP3 (interacts with) CTNNB1,First_Neighbor_Second,CASP3,CTNNB1
MEN1 -> CTNNB1 -> CASP3 -> PARP1,4,PARP1 (interacts with) CASP3,Second_Neighbor_Third,PARP1,CASP3
TSHR -> IGLL5 -> IL6,3,IL6 (interacts with) IGLL5,First_Neighbor_Second,IL6,IGLL5
TSHR -> IGHV3-16 -> IL6R -> STAT3 -> PTGS2,5,IL6R (interacts with) IGHV3-16,First_Neighbor_Second,IL6R,IGHV3-16
TSHR -> IGHV3-16 -> IL6R -> STAT3 -> PTGS2,5,STAT3 (interacts with) IL6R,Second_Neighbor_Third,STAT3,IL6R
TSHR -> IGHV3-16 -> IL6R -> STAT3 -> PTGS2,5,PTGS2 (interacts with) STAT3,Third_Neighbor_Fourth,PTGS2,STAT3
