Compound,Protein,Neighborhood_1,Tag
Choline,GNA11,1Neigh,Cholie-1Neigh
Choline,GNAQ,1Neigh,Cholie-1Neigh
Choline,GRM5,1Neigh,Cholie-1Neigh
Choline,GNG12,1Neigh,Cholie-1Neigh
Choline,GNG3,1Neigh,Cholie-1Neigh
Choline,GNAI2,1Neigh,Cholie-1Neigh
Choline,GNG2,1Neigh,Cholie-1Neigh
Choline,GNG10,1Neigh,Cholie-1Neigh
Choline,GNB1,1Neigh,Cholie-1Neigh
Choline,GNA15,1Neigh,Cholie-1Neigh
Choline,F2R,1Neigh,Cholie-1Neigh
Choline,LPAR3,1Neigh,Cholie-1Neigh
Choline,LPAR1,1Neigh,Cholie-1Neigh
Choline,GNA14,1Neigh,Cholie-1Neigh
Choline,LPAR6,1Neigh,Cholie-1Neigh
Choline,FKBP2,1Neigh,Cholie-1Neigh
Choline,LPAR5,1Neigh,Cholie-1Neigh
Choline,ARRB2,1Neigh,Cholie-1Neigh
Choline,LPAR4,1Neigh,Cholie-1Neigh
Choline,GNB4,1Neigh,Cholie-1Neigh
Choline,GNG11,1Neigh,Cholie-1Neigh
Choline,GNB5,1Neigh,Cholie-1Neigh
Choline,SST,1Neigh,Cholie-1Neigh
Choline,NPY,1Neigh,Cholie-1Neigh
Choline,GNG4,1Neigh,Cholie-1Neigh
Choline,ARRB1,1Neigh,Cholie-1Neigh
Choline,PIK3CG,1Neigh,Cholie-1Neigh
Choline,IGHV3-16,1Neigh,Cholie-1Neigh
Choline,CHRNB3,1Neigh,Cholie-1Neigh
Choline,CHRNA5,1Neigh,Cholie-1Neigh
Choline,CHRNB1,1Neigh,Cholie-1Neigh
Choline,CHRFAM7A,1Neigh,Cholie-1Neigh
Choline,SLURP1,1Neigh,Cholie-1Neigh
Choline,KCNQ2,1Neigh,Cholie-1Neigh
Choline,ABCC2,1Neigh,Cholie-1Neigh
Choline,DOK7,1Neigh,Cholie-1Neigh
Choline,GNA12,1Neigh,Cholie-1Neigh
Choline,CYSLTR2,1Neigh,Cholie-1Neigh
Choline,ADRA1B,1Neigh,Cholie-1Neigh
Choline,ADRA1D,1Neigh,Cholie-1Neigh
Choline,FKBP4,1Neigh,Cholie-1Neigh
Choline,KRT14,1Neigh,Cholie-1Neigh
