Prot_A;Prot_B;Condition
RPL18A;RRP1;cell_growth
RPL18A;TMA16;cell_growth
RPL18A;GNL3;cell_growth
RPL18A;LYAR;cell_growth
RPL18A;RRP1B;cell_growth
RPL18A;RSL1D1;cell_growth
RPL18A;DDX18;cell_growth
RPL18A;EDF1;cell_growth
RPL18A;NOP58;cell_growth
RPL18A;NOC2L;cell_growth
RPL18A;EBNA1BP2;cell_growth
RPL18A;RPF1;cell_growth
RPL18A;NOP53;cell_growth
RPL18A;NIFK;cell_growth
RPL18A;PA2G4;cell_growth
RPL18A;EEF1A1;cell_growth
RPL18A;RPL10L;cell_growth
RPL18A;RPL22;cell_growth
RPL18A;RPS14;cell_growth
RPL18A;RPL12;cell_growth
RPL18A;RPS15A;cell_growth
RPL18A;RPS9;cell_growth
RPL18A;RPS23;cell_growth
RPL18A;RPL39;cell_growth
RPL18A;RPL13A;cell_growth
RPL18A;RPL38;cell_growth
RPL18A;RPL27;cell_growth
RPL18A;RPL29;cell_growth
RPL18A;RPL36A;cell_growth
RPL18A;FAU;cell_growth
RPL18A;RPLP0;cell_growth
RPL18A;RPL32;cell_growth
RPL18A;RPS13;cell_growth
RPL18A;RPS3A;cell_growth
RPL18A;RPS27A;cell_growth
RPL18A;RPS3;cell_growth
RPL18A;RPS11;cell_growth
RPL18A;RPL31;cell_growth
RPL18A;RPL3;cell_growth
RPL18A;RPS27;cell_growth
RPL18A;RPL28;cell_growth
RPL18A;RPL35A;cell_growth
RPL18A;RPL37;cell_growth
RPL18A;RPS26;cell_growth
RPL18A;RPL14;cell_growth
RPL18A;RPL21;cell_growth
RPL18A;RPS29;cell_growth
RPL18A;RPS17;cell_growth
RPL18A;RPL30;cell_growth
RPL18A;RPS4X;cell_growth
RPL18A;RPS7;cell_growth
RPL18A;RPL4;cell_growth
RPL18A;RPS28;cell_growth
RPL18A;RPS5;cell_growth
RPL18A;RPL10A;cell_growth
RPL18A;RPS25;cell_growth
RPL18A;RPL17;cell_growth
RPL18A;RPL23A;cell_growth
RPL18A;RPS20;cell_growth
RPL18A;RPL8;cell_growth
RPL18A;RPL37A;cell_growth
RPL18A;RPL24;cell_growth
RPL18A;RPS15;cell_growth
RPL18A;RPS2;cell_growth
RPL18A;RPS8;cell_growth
RPL18A;RPL26;cell_growth
RPL18A;UBA52;cell_growth
RPL18A;RPS6;cell_growth
RPL18A;RPS24;cell_growth
RPL18A;RPL11;cell_growth
RPL18A;RPL7;cell_growth
RPL18A;RPL9;cell_growth
RPL18A;RPL18;cell_growth
RPL18A;RPS21;cell_growth
RPL18A;RPL13;cell_growth
RPL18A;RPL7A;cell_growth
RPL18A;RPL27A;cell_growth
RPL18A;RPS10;cell_growth
RPL18A;RPL36;cell_growth
RPL18A;RPL6;cell_growth
RPL18A;RPS19;cell_growth
RPL18A;RPL23;cell_growth
RPL18A;RPSA;cell_growth
RPL18A;RPL35;cell_growth
