Prot_A;Prot_B
RPL18A;RRP1
RPL18A;TMA16
RPL18A;GNL3
RPL18A;LYAR
RPL18A;RRP1B
RPL18A;RSL1D1
RPL18A;DDX18
RPL18A;EDF1
RPL18A;NOP58
RPL18A;NOC2L
RPL18A;EBNA1BP2
RPL18A;RPF1
RPL18A;NOP53
RPL18A;NIFK
RPL18A;PA2G4
RPL18A;EEF1A1
RPL18A;RPL10L
RPL18A;RPL22
RPL18A;RPS14
RPL18A;RPL12
RPL18A;RPS15A
RPL18A;RPS9
RPL18A;RPS23
RPL18A;RPL39
RPL18A;RPL13A
RPL18A;RPL38
RPL18A;RPL27
RPL18A;RPL29
RPL18A;RPL36A
RPL18A;FAU
RPL18A;RPLP0
RPL18A;RPL32
RPL18A;RPS13
RPL18A;RPS3A
RPL18A;RPS27A
RPL18A;RPS3
RPL18A;RPS11
RPL18A;RPL31
RPL18A;RPL3
RPL18A;RPS27
RPL18A;RPL28
RPL18A;RPL35A
RPL18A;RPL37
RPL18A;RPS26
RPL18A;RPL14
RPL18A;RPL21
RPL18A;RPS29
RPL18A;RPS17
RPL18A;RPL30
RPL18A;RPS4X
RPL18A;RPS7
RPL18A;RPL4
RPL18A;RPS28
RPL18A;RPS5
RPL18A;RPL10A
RPL18A;RPS25
RPL18A;RPL17
RPL18A;RPL23A
RPL18A;RPS20
RPL18A;RPL8
RPL18A;RPL37A
RPL18A;RPL24
RPL18A;RPS15
RPL18A;RPS2
RPL18A;RPS8
RPL18A;RPL26
RPL18A;UBA52
RPL18A;RPS6
RPL18A;RPS24
RPL18A;RPL11
RPL18A;RPL7
RPL18A;RPL9
RPL18A;RPL18
RPL18A;RPS21
RPL18A;RPL13
RPL18A;RPL7A
RPL18A;RPL27A
RPL18A;RPS10
RPL18A;RPL36
RPL18A;RPL6
RPL18A;RPS19
RPL18A;RPL23
RPL18A;RPSA
RPL18A;RPL35
RPL18A;RACK1
RPL18A;RPL15
RPL18A;RPS18
RPL18A;RPL34
RPL18A;RPL5
RPL18A;RPL19
RPL18A;RPS16
RPL18A;RPS12
EDF1;RPL17
EDF1;RPL22
EDF1;RPL26
EDF1;RPL7
EDF1;RPL10L
EDF1;RPL39
EDF1;LYAR
EDF1;RPL3
EDF1;RPL13A
EDF1;UBA52
EDF1;RPL23
EDF1;RPL21
EDF1;RPL35A
