Prot_A;Prot_B;Renew component
GNA11;CHRM5;Choline
GNA11;GRM5;Choline
GNA11;CHRM3;Choline
GNA11;CHRM1;Choline
GNA11;GNAQ;Choline
CHRM3;KNG1;Choline
CHRM3;GNG12;Choline
CHRM3;CHRM1;Choline
CHRM3;GRM5;Choline
CHRM3;CHRM5;Choline
CHRM3;GNAQ;Choline
GNAQ;CHRM5;Choline
GNAQ;CHRM1;Choline
GNAQ;GRM5;Choline
GRM5;CHRM5;Choline
GRM5;CHRM1;Choline
CHRM1;CHRM5;Choline
CHRM1;GNG12;Choline
CHRM1;KNG1;Choline
GNG12;CHRM5;Choline
CHRM5;KNG1;Choline
GNG3;GNAI2;Choline
GNG3;GNAI1;Choline
GNG3;GNB1;Choline
GNAI2;GNG10;Choline
GNAI2;GNG2;Choline
GNAI2;GNAI1;Choline
GNAI2;GNB1;Choline
GNG2;GNAI1;Choline
GNG2;GNB1;Choline
GNG12;CHRM4;Choline
GNG12;GNB1;Choline
GNG10;GNB1;Choline
GNB1;GNAI1;Choline
CHRM4;KNG1;Choline
GNA11;PLCB3;Choline
GNA15;PLCB3;Choline
GNAQ;LPAR4;Choline
GNAQ;LPAR3;Choline
GNAQ;LPAR5;Choline
GNAQ;F2R;Choline
GNAQ;LPAR2;Choline
GNAQ;LPAR1;Choline
GNAQ;PLCB3;Choline
CHRM1;LPAR2;Choline
CHRM1;LPAR5;Choline
CHRM1;LPAR4;Choline
CHRM1;F2R;Choline
CHRM1;LPAR3;Choline
CHRM1;CHRM2;Choline
CHRM1;LPAR1;Choline
CHRM1;LPAR6;Choline
F2R;LPAR6;Choline
F2R;LPAR4;Choline
F2R;LPAR5;Choline
F2R;LPAR3;Choline
F2R;CHRM2;Choline
F2R;LPAR2;Choline
F2R;LPAR1;Choline
F2R;ARRB2;Choline
F2R;ARRB1;Choline
LPAR3;CHRM2;Choline
LPAR3;LPAR1;Choline
LPAR3;LPAR2;Choline
LPAR3;LPAR4;Choline
LPAR3;LPAR5;Choline
LPAR3;LPAR6;Choline
GNG12;CHRM2;Choline
LPAR1;CHRM2;Choline
LPAR1;LPAR2;Choline
LPAR1;LPAR5;Choline
LPAR1;LPAR6;Choline
LPAR1;LPAR4;Choline
GNA14;PLCB3;Choline
LPAR6;CHRM2;Choline
LPAR6;LPAR4;Choline
LPAR6;LPAR5;Choline
LPAR6;LPAR2;Choline
FKBP2;LOC114841035;Choline
LPAR5;CHRM2;Choline
LPAR5;LPAR4;Choline
LPAR5;LPAR2;Choline
CHRM2;LPAR2;Choline
CHRM2;LPAR4;Choline
CHRM2;KNG1;Choline
CHRM2;ARRB1;Choline
ARRB2;ARRB1;Choline
LPAR4;LPAR2;Choline
GNB4;GNAI1;Choline
GNB4;GNG4;Choline
GNB4;GNG11;Choline
GNB4;GNG2;Choline
GNB4;GNG10;Choline
GNB4;GNG12;Choline
GNG11;GNB1;Choline
GNB5;GNG2;Choline
GNB5;GNG4;Choline
SST;GNG2;Choline
SST;GNB1;Choline
SST;GNAI1;Choline
GNG2;IGHV3-16;Choline
GNG2;NPY;Choline
GNG2;LPAR1;Choline
LPAR1;GNB1;Choline
LPAR1;GNAI1;Choline
GNB1;NPY;Choline
GNB1;IGHV3-16;Choline
GNB1;GNG4;Choline
NPY;GNAI1;Choline
GNG4;GNAI1;Choline
CHRM2;IGHV3-16;Choline
ARRB1;IGHV3-16;Choline
PIK3CG;GNAI1;Choline
IGHV3-16;GNAI1;Choline
CHRND;CHRNA3;Choline
CHRND;CHRNB2;Choline
CHRND;CHRNA6;Choline
CHRND;CHRNA7;Choline
CHRND;CHRNB4;Choline
CHRND;CHRNA2;Choline
CHRND;CHRNB3;Choline
CHRND;CHRNA4;Choline
CHRND;CHRNA9;Choline
CHRND;CHRNE;Choline
CHRND;CHRNB1;Choline
CHRNB4;CHRNB1;Choline
CHRNB4;CHRNE;Choline
CHRNB4;CHRNA6;Choline
CHRNB4;CHRNB3;Choline
CHRNB4;JAK2;Choline
CHRNB4;CHRNB2;Choline
CHRNB4;CHRNA2;Choline
CHRNB4;CHRNA5;Choline
CHRNB4;CHRNA9;Choline
CHRNB4;CHRNA4;Choline
CHRNB4;CHRNA7;Choline
CHRNB4;CHRNA3;Choline
CHRNA6;CHRNB2;Choline
CHRNA6;CHRNB1;Choline
CHRNA6;CHRNA2;Choline
CHRNA6;CHRNA9;Choline
CHRNA6;CHRNA7;Choline
CHRNA6;CHRNA3;Choline
CHRNA6;CHRNE;Choline
CHRNA6;CHRNA4;Choline
CHRNA6;JAK2;Choline
CHRNA6;CHRNB3;Choline
CHRNB3;CHRNA9;Choline
CHRNB3;CHRNA3;Choline
CHRNB3;CHRNA7;Choline
CHRNB3;CHRNB1;Choline
CHRNB3;CHRNB2;Choline
CHRNB3;CHRNE;Choline
CHRNB3;CHRNA4;Choline
CHRNB3;CHRNA2;Choline
CHRNA5;CHRNB2;Choline
CHRNA5;CHRNA3;Choline
CHRNB1;CHRNB2;Choline
CHRNB1;CHRNA3;Choline
CHRNB1;CHRNA4;Choline
CHRNB1;CHRNA7;Choline
CHRNB1;CHRNA2;Choline
CHRNB1;CHRNA9;Choline
CHRNB1;CHRNE;Choline
CHRNA9;CHRNE;Choline
CHRNA9;CHRNA2;Choline
CHRNA9;CHRNA4;Choline
CHRNA9;CHRNB2;Choline
CHRNA9;CHRNA7;Choline
CHRNA9;CHRNA3;Choline
CHRNA3;CHRNE;Choline
CHRNA3;JAK2;Choline
CHRNA3;CHRNA2;Choline
CHRNA3;CHRNA4;Choline
CHRNA3;CHRNA7;Choline
CHRNA3;CHRNB2;Choline
CHRNB2;CHRNE;Choline
CHRNB2;JAK2;Choline
CHRNB2;CHRNA7;Choline
CHRNB2;CHRNA2;Choline
CHRNB2;CHRNA4;Choline
CHRNA4;CHRNE;Choline
CHRNA4;JAK2;Choline
CHRNA4;CHRNA7;Choline
CHRNA4;CHRNA2;Choline
CHRNA2;CHRNE;Choline
CHRNA2;CHRNA7;Choline
CHRNA7;CHRNE;Choline
CHRFAM7A;CHRNA7;Choline
SLURP1;SLURP2;Choline
CHRNA10;CHRNA9;Choline
KCNQ2;KCNQ3;Choline
ABCC2;ABCG2;Choline
DOK7;MUSK;Choline
GNA11;ADRA1B;Choline
GNA11;ADRA1D;Choline
GNA11;GNB1;Choline
GNA12;ADRA1B;Choline
GNA12;ADRA1D;Choline
GNA12;GNA13;Choline
CYSLTR2;CYSLTR1;Choline
GNAQ;ADRA1B;Choline
GNAQ;ADRA1D;Choline
GNAQ;TBXA2R;Choline
GNAQ;GNB1;Choline
ADRA1B;GNA13;Choline
ADRA1B;ADRA1D;Choline
GNB1;GNA13;Choline
ADRA1D;GNA13;Choline
TBXA2R;AAMP;Choline
TBXA2R;GNA13;Choline
FKBP4;AR;Choline
FKBP4;NR3C2;Choline
FKBP4;FKBP5;Choline
FKBP4;PGR;Choline
FKBP4;PTGES3;Choline
FKBP4;NR3C1;Choline
FKBP4;HSP90AA1;Choline
KRT14;KRT5;Choline
MAPK13;PGR;Choline
MAPK13;MAPK8;Choline
MAPK13;NCOA3;Choline
MAPK13;MAPK12;Choline
MAPK13;ESR1;Choline
MAPK13;MAPK9;Choline
MAPK13;TP53;Choline
MAPK12;MAPK9;Choline
MAPK12;PGR;Choline
MAPK12;MAPK8;Choline
MAPK12;NCOA3;Choline
MAPK12;ESR1;Choline
MAPK12;TP53;Choline
PIK3R2;PGR;Choline
PIK3R2;SRC;Choline
PIK3R2;IGF1R;Choline
PIK3R2;ERBB4;Choline
PIK3R2;ERBB2;Choline
PIK3R2;EGFR;Choline
PIK3R2;PIK3R3;Choline
PIK3R2;PIK3R1;Choline
PIK3R2;PIK3CB;Choline
PIK3R2;PIK3CD;Choline
PIK3R2;PIK3CA;Choline
CCND1;AR;Choline
CCND1;EP300;Choline
CCND1;ESR1;Choline
CCND1;RB1;Choline
CCND1;CDK2;Choline
MAPK14;RB1;Choline
MAPK14;PGR;Choline
MAPK14;MAPK9;Choline
MAPK14;ESR1;Choline
MAPK14;NCOA3;Choline
MAPK14;MAPK8;Choline
MAPK14;TP53;Choline
TBP;CUEDC2;Choline
TBP;ESR1;Choline
TBP;TP53;Choline
NR3C1;RELA;Choline
NR3C1;NCOA3;Choline
NR3C1;EP300;Choline
NR3C1;STAT3;Choline
NR3C1;STIP1;Choline
NR3C1;NCOR1;Choline
NR3C1;PTGES3;Choline
NR3C1;NCOA1;Choline
NR3C1;NCOA2;Choline
NR3C1;HSP90AA1;Choline
FOXA1;EP300;Choline
FOXA1;AR;Choline
FOXA1;GATA3;Choline
