Nodes,Path_Related_Score
A1CF,202
A2M,18803
A3GALT2,442
AAAS,7733
AACS,20
AADAT,12648
AAK1,2974
AAMP,65514
AANAT,2706
AARS1,4349
AARS2,3965
AASDH,14711
AASDHPPT,237193
AASS,6096
AATF,31448
ABAT,26436
ABCA1,4232
ABCA2,8290
ABCA6,13575
ABCA7,2028
ABCB6,8290
ABCB8,9111
ABCC8,31748
ABCD1,1442
ABCD2,1442
ABCD3,19853
ABCD4,43968
ABCE1,69471
ABCF1,14436
ABCG5,8290
ABCG8,8290
ABHD5,327
ABI1,56114
ABI2,39710
ABI3,4993
ABL1,3410640
ABL2,531609
ABRAXAS1,12778
ABRAXAS2,21032
ACAA1,107563
ACAA2,31583
ACACA,65311
ACACB,31486
ACAD11,1447
ACAD9,1760
ACADM,94
ACADS,24283
ACADSB,3965
ACADVL,15576
ACAT1,25094
ACBD3,1588
ACD,16605
ACE,7502
ACE2,15301
ACER1,43038
ACER2,23648
ACER3,14847
ACHE,209342
ACIN1,43102
ACKR3,11406
ACKR4,1273
ACLY,123027
ACMSD,1221
ACO1,53805
ACO2,376048
ACOT1,17786
ACOT13,1726
ACOT4,13916
ACOT7,2223
ACOT8,958
ACOX1,23701
ACOX2,1612
ACOX3,14765
ACP1,596
ACSBG1,5099
ACSBG2,2290
ACSF3,16142
ACSL1,3812
ACSL3,3802
ACSL4,3810
ACSL5,3802
ACSL6,3809
ACSM1,1725
ACSM2B,1437
ACSM3,1437
ACSS1,75530
ACSS2,29602
ACSS3,14350
ACTA1,1383062
ACTA2,53846
ACTB,1807686
ACTC1,34607
ACTG1,170902
ACTL6A,41843
ACTL6B,19918
ACTL7A,13258
ACTN1,44459
ACTN2,15972
ACTN3,1291
ACTN4,38844
ACTR1A,57825
ACTR1B,4927
ACTR2,35576
ACTR3,23396
ACTR5,23721
ACTR6,8158
ACTR8,15048
ACVR1,11609
ACVR1B,786
ACVR1C,7028
ACVR2A,8865
ACVR2B,6290
ACVRL1,2731
ADA,56600
ADA2,41957
ADAM10,12968
ADAM15,4302
ADAM17,31222
ADAM22,20931
ADAP1,4578
ADAR,758
ADCY1,92893
ADCY10,17207
ADCY2,20926
ADCY3,97259
ADCY4,22458
ADCY5,34395
ADCY6,27611
ADCY7,21187
ADCY8,47924
ADCY9,43180
ADCYAP1,122965
ADCYAP1R1,15216
ADD1,18577
ADD2,1339
ADD3,1238
ADGRA2,31756
ADGRB1,8240
ADGRB2,5173
ADGRB3,5173
ADGRD1,38382
ADGRE5,33
ADGRF1,386857
ADGRG1,15303
ADGRG2,15216
ADGRG3,13218
ADGRG6,79
ADGRL1,36721
ADGRL3,22690
ADGRV1,790
ADH1A,59654
ADH1B,28781
ADH1C,1
ADH4,28882
ADH5,28835
ADH6,36
ADH7,28818
ADHFE1,44396
ADI1,6626
ADIPOQ,6813
ADIPOR1,1578
ADIPOR2,1556
ADIRF,3883
ADK,809792
ADM,15218
ADM2,15216
ADNP,1849
ADNP2,1849
ADORA1,22063
ADORA2A,34731
ADPGK,5271
ADPRM,12363
ADRA1A,12733
ADRA1B,12313
ADRA1D,12336
ADRA2A,423699
ADRA2B,12313
ADRA2C,12313
ADRB1,37194
ADRB2,489814
ADRB3,23388
ADRM1,27247
ADSL,460991
ADSS1,128843
ADSS2,49255
AEBP2,20885
AEN,2315
AFDN,50148
AFF1,7242
AFF4,7369
AFG3L2,6740
AFMID,5253
AFTPH,3198
AGAP2,2604
