Compound,Protein,Neighborhood_1,Tag
Glycine,SLC32A1,1Neigh,Glycine-1Neigh
Glycine,GAD1,1Neigh,Glycine-1Neigh
Glycine,CACNG3,1Neigh,Glycine-1Neigh
Glycine,P2RX5,1Neigh,Glycine-1Neigh
Glycine,P2RX1,1Neigh,Glycine-1Neigh
Glycine,GRIN3B,1Neigh,Glycine-1Neigh
Glycine,CACNG4,1Neigh,Glycine-1Neigh
Glycine,P2RX3,1Neigh,Glycine-1Neigh
Glycine,OLFM2,1Neigh,Glycine-1Neigh
Glycine,CACNG8,1Neigh,Glycine-1Neigh
Glycine,CNIH3,1Neigh,Glycine-1Neigh
Glycine,GRIA4,1Neigh,Glycine-1Neigh
Glycine,CALM3,1Neigh,Glycine-1Neigh
Glycine,GRIA2,1Neigh,Glycine-1Neigh
Glycine,CACNG2,1Neigh,Glycine-1Neigh
Glycine,CALML6,1Neigh,Glycine-1Neigh
Glycine,PRKACA,1Neigh,Glycine-1Neigh
Glycine,CNIH2,1Neigh,Glycine-1Neigh
Glycine,CALML3,1Neigh,Glycine-1Neigh
Glycine,P2RX7,1Neigh,Glycine-1Neigh
Glycine,HTR3A,1Neigh,Glycine-1Neigh
Glycine,P2RX4,1Neigh,Glycine-1Neigh
Glycine,PRKACB,1Neigh,Glycine-1Neigh
Glycine,DLG3,1Neigh,Glycine-1Neigh
Glycine,PRKACG,1Neigh,Glycine-1Neigh
Glycine,CALML5,1Neigh,Glycine-1Neigh
Glycine,CACNG7,1Neigh,Glycine-1Neigh
Glycine,GRIK2,1Neigh,Glycine-1Neigh
Glycine,CALML4,1Neigh,Glycine-1Neigh
Glycine,GRIA1,1Neigh,Glycine-1Neigh
Glycine,CACNG5,1Neigh,Glycine-1Neigh
Glycine,PDYN,1Neigh,Glycine-1Neigh
Glycine,SHISA9,1Neigh,Glycine-1Neigh
Glycine,NOS1,1Neigh,Glycine-1Neigh
Glycine,NTRK2,1Neigh,Glycine-1Neigh
Glycine,GRM5,1Neigh,Glycine-1Neigh
Glycine,CAMK2G,1Neigh,Glycine-1Neigh
Glycine,DLG1,1Neigh,Glycine-1Neigh
Glycine,DLG4,1Neigh,Glycine-1Neigh
Glycine,CALM1,1Neigh,Glycine-1Neigh
