Compound,Protein,Neighborhood_1,Tag
Magnesium,SEPSECS,1Neigh,1Neigh-Magnesium
Magnesium,TXNRD2,1Neigh,1Neigh-Magnesium
Magnesium,SEPHS2,1Neigh,1Neigh-Magnesium
Magnesium,TXNRD3,1Neigh,1Neigh-Magnesium
Magnesium,TXNRD1,1Neigh,1Neigh-Magnesium
Magnesium,KAT2A,1Neigh,1Neigh-Magnesium
Magnesium,RARS1,1Neigh,1Neigh-Magnesium
Magnesium,WARS2,1Neigh,1Neigh-Magnesium
Magnesium,AARS2,1Neigh,1Neigh-Magnesium
Magnesium,NARS1,1Neigh,1Neigh-Magnesium
Magnesium,CARS2,1Neigh,1Neigh-Magnesium
Magnesium,AARS1,1Neigh,1Neigh-Magnesium
Magnesium,MARS1,1Neigh,1Neigh-Magnesium
Magnesium,KAT2B,1Neigh,1Neigh-Magnesium
Magnesium,TAF12,1Neigh,1Neigh-Magnesium
Magnesium,TAF10,1Neigh,1Neigh-Magnesium
Magnesium,QARS1,1Neigh,1Neigh-Magnesium
Magnesium,TADA3,1Neigh,1Neigh-Magnesium
Magnesium,METTL1,1Neigh,1Neigh-Magnesium
Magnesium,SGF29,1Neigh,1Neigh-Magnesium
Magnesium,YARS2,1Neigh,1Neigh-Magnesium
Magnesium,KARS1,1Neigh,1Neigh-Magnesium
Magnesium,TARS3,1Neigh,1Neigh-Magnesium
Magnesium,TAF9B,1Neigh,1Neigh-Magnesium
Magnesium,TRRAP,1Neigh,1Neigh-Magnesium
Magnesium,IARS2,1Neigh,1Neigh-Magnesium
Magnesium,EPRS1,1Neigh,1Neigh-Magnesium
Magnesium,TARS2,1Neigh,1Neigh-Magnesium
Magnesium,SUPT3H,1Neigh,1Neigh-Magnesium
Magnesium,IARS1,1Neigh,1Neigh-Magnesium
Magnesium,VARS1,1Neigh,1Neigh-Magnesium
Magnesium,TAF9,1Neigh,1Neigh-Magnesium
Magnesium,LARS1,1Neigh,1Neigh-Magnesium
Magnesium,PSTK,1Neigh,1Neigh-Magnesium
Magnesium,SUPT20H,1Neigh,1Neigh-Magnesium
Magnesium,HARS1,1Neigh,1Neigh-Magnesium
Magnesium,ENY2,1Neigh,1Neigh-Magnesium
Magnesium,NGFR,1Neigh,1Neigh-Magnesium
Magnesium,YWHAE,1Neigh,1Neigh-Magnesium
Magnesium,RIT2,1Neigh,1Neigh-Magnesium
Magnesium,AK1,1Neigh,1Neigh-Magnesium
Magnesium,PDE1B,1Neigh,1Neigh-Magnesium
Magnesium,NT5C,1Neigh,1Neigh-Magnesium
Magnesium,NT5E,1Neigh,1Neigh-Magnesium
Magnesium,PDE8B,1Neigh,1Neigh-Magnesium
Magnesium,AK7,1Neigh,1Neigh-Magnesium
Magnesium,PDE3B,1Neigh,1Neigh-Magnesium
Magnesium,PDE11A,1Neigh,1Neigh-Magnesium
Magnesium,AK8,1Neigh,1Neigh-Magnesium
Magnesium,ENTPD3,1Neigh,1Neigh-Magnesium
Magnesium,PDE7B,1Neigh,1Neigh-Magnesium
Magnesium,MDH2,1Neigh,1Neigh-Magnesium
Magnesium,NT5C2,1Neigh,1Neigh-Magnesium
Magnesium,PDE4B,1Neigh,1Neigh-Magnesium
Magnesium,PDE4D,1Neigh,1Neigh-Magnesium
Magnesium,AK5,1Neigh,1Neigh-Magnesium
Magnesium,PDE4C-2,1Neigh,1Neigh-Magnesium
Magnesium,UBE2I,1Neigh,1Neigh-Magnesium
Magnesium,PDE3A,1Neigh,1Neigh-Magnesium
Magnesium,NT5C1B,1Neigh,1Neigh-Magnesium
Magnesium,PNP,1Neigh,1Neigh-Magnesium
Magnesium,PDE10A,1Neigh,1Neigh-Magnesium
Magnesium,ENTPD1,1Neigh,1Neigh-Magnesium
Magnesium,ENTPD8,1Neigh,1Neigh-Magnesium
Magnesium,ADA,1Neigh,1Neigh-Magnesium
Magnesium,APRT,1Neigh,1Neigh-Magnesium
Magnesium,PDE4A,1Neigh,1Neigh-Magnesium
Magnesium,AK6,1Neigh,1Neigh-Magnesium
Magnesium,AK3,1Neigh,1Neigh-Magnesium
Magnesium,NT5M,1Neigh,1Neigh-Magnesium
Magnesium,PDE8A,1Neigh,1Neigh-Magnesium
Magnesium,AK4,1Neigh,1Neigh-Magnesium
Magnesium,PDE1C,1Neigh,1Neigh-Magnesium
Magnesium,AMPD3,1Neigh,1Neigh-Magnesium
Magnesium,ADA2,1Neigh,1Neigh-Magnesium
Magnesium,PDE7A,1Neigh,1Neigh-Magnesium
Magnesium,NT5C3B,1Neigh,1Neigh-Magnesium
Magnesium,ENPP3,1Neigh,1Neigh-Magnesium
Magnesium,AK9,1Neigh,1Neigh-Magnesium
Magnesium,PDE1A,1Neigh,1Neigh-Magnesium
Magnesium,AMPD1,1Neigh,1Neigh-Magnesium
Magnesium,NT5C1B-RDH14,1Neigh,1Neigh-Magnesium
Magnesium,NT5C3A,1Neigh,1Neigh-Magnesium
Magnesium,ADSL,1Neigh,1Neigh-Magnesium
Magnesium,ENPP1,1Neigh,1Neigh-Magnesium
Magnesium,WASL,1Neigh,1Neigh-Magnesium
Magnesium,PFN1,1Neigh,1Neigh-Magnesium
Magnesium,PFN2,1Neigh,1Neigh-Magnesium
Magnesium,VASP,1Neigh,1Neigh-Magnesium
Magnesium,BAIAP2,1Neigh,1Neigh-Magnesium
Magnesium,PFN4,1Neigh,1Neigh-Magnesium
Magnesium,ZYX,1Neigh,1Neigh-Magnesium
Magnesium,ACTL7A,1Neigh,1Neigh-Magnesium
Magnesium,TES,1Neigh,1Neigh-Magnesium
Magnesium,APBB1IP,1Neigh,1Neigh-Magnesium
Magnesium,EVL,1Neigh,1Neigh-Magnesium
Magnesium,ESRP1,1Neigh,1Neigh-Magnesium
Magnesium,ACTG1,1Neigh,1Neigh-Magnesium
Magnesium,PLCG1,1Neigh,1Neigh-Magnesium
Magnesium,KDR,1Neigh,1Neigh-Magnesium
Magnesium,SRC,1Neigh,1Neigh-Magnesium
Magnesium,ITK,1Neigh,1Neigh-Magnesium
Magnesium,PIK3R1,1Neigh,1Neigh-Magnesium
Magnesium,AGXT2,1Neigh,1Neigh-Magnesium
Magnesium,APOB,1Neigh,1Neigh-Magnesium
Magnesium,GOT2,1Neigh,1Neigh-Magnesium
Magnesium,SDHA,1Neigh,1Neigh-Magnesium
Magnesium,GLUD1,1Neigh,1Neigh-Magnesium
Magnesium,NAGS,1Neigh,1Neigh-Magnesium
Magnesium,GOT1L1,1Neigh,1Neigh-Magnesium
Magnesium,GLUD2,1Neigh,1Neigh-Magnesium
Magnesium,IDH2,1Neigh,1Neigh-Magnesium
Magnesium,GPT2,1Neigh,1Neigh-Magnesium
Magnesium,GPX6,1Neigh,1Neigh-Magnesium
Magnesium,GPX7,1Neigh,1Neigh-Magnesium
Magnesium,FH,1Neigh,1Neigh-Magnesium
