Compound,Protein,Neighborhood_1,Tag
Nootropic,IDUA,1Neigh,1Neigh-Nootropic
Nootropic,ARSB,1Neigh,1Neigh-Nootropic
Nootropic,GUSB,1Neigh,1Neigh-Nootropic
Nootropic,ITGB4,1Neigh,1Neigh-Nootropic
Nootropic,LAMB1,1Neigh,1Neigh-Nootropic
Nootropic,ITGB8,1Neigh,1Neigh-Nootropic
Nootropic,LAMA4,1Neigh,1Neigh-Nootropic
Nootropic,LAMA5,1Neigh,1Neigh-Nootropic
Nootropic,ITGAV,1Neigh,1Neigh-Nootropic
Nootropic,ITGA9,1Neigh,1Neigh-Nootropic
Nootropic,ITGB7,1Neigh,1Neigh-Nootropic
Nootropic,EGFR,1Neigh,1Neigh-Nootropic
Nootropic,ITGA1,1Neigh,1Neigh-Nootropic
Nootropic,ITGA5,1Neigh,1Neigh-Nootropic
Nootropic,ITGB5,1Neigh,1Neigh-Nootropic
Nootropic,ITGA2,1Neigh,1Neigh-Nootropic
Nootropic,ITGA3,1Neigh,1Neigh-Nootropic
Nootropic,LAMA3,1Neigh,1Neigh-Nootropic
Nootropic,ITGA11,1Neigh,1Neigh-Nootropic
Nootropic,PTK2,1Neigh,1Neigh-Nootropic
Nootropic,SV2A,1Neigh,1Neigh-Nootropic
Nootropic,ITGA10,1Neigh,1Neigh-Nootropic
Nootropic,COL4A1,1Neigh,1Neigh-Nootropic
Nootropic,ITGA8,1Neigh,1Neigh-Nootropic
Nootropic,LAMB3,1Neigh,1Neigh-Nootropic
Nootropic,SV2B,1Neigh,1Neigh-Nootropic
Nootropic,ITGB1,1Neigh,1Neigh-Nootropic
Nootropic,ITGA4,1Neigh,1Neigh-Nootropic
Nootropic,CD44,1Neigh,1Neigh-Nootropic
Nootropic,LAMA2,1Neigh,1Neigh-Nootropic
Nootropic,CACNG1,1Neigh,1Neigh-Nootropic
Nootropic,GRIN3B,1Neigh,1Neigh-Nootropic
Nootropic,CACNG6,1Neigh,1Neigh-Nootropic
Nootropic,CATSPERB,1Neigh,1Neigh-Nootropic
Nootropic,CACNG4,1Neigh,1Neigh-Nootropic
Nootropic,GRIN2D,1Neigh,1Neigh-Nootropic
Nootropic,OLFM2,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1C,1Neigh,1Neigh-Nootropic
Nootropic,CACNG8,1Neigh,1Neigh-Nootropic
Nootropic,CNIH3,1Neigh,1Neigh-Nootropic
Nootropic,CATSPER3,1Neigh,1Neigh-Nootropic
Nootropic,GRIN2C,1Neigh,1Neigh-Nootropic
Nootropic,GRIA2,1Neigh,1Neigh-Nootropic
Nootropic,CACNG2,1Neigh,1Neigh-Nootropic
Nootropic,CACNB3,1Neigh,1Neigh-Nootropic
Nootropic,CATSPER1,1Neigh,1Neigh-Nootropic
Nootropic,CNIH2,1Neigh,1Neigh-Nootropic
Nootropic,CACNB2,1Neigh,1Neigh-Nootropic
Nootropic,STAC3,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1H,1Neigh,1Neigh-Nootropic
Nootropic,HTR3A,1Neigh,1Neigh-Nootropic
Nootropic,CACNA2D1,1Neigh,1Neigh-Nootropic
Nootropic,RYR1,1Neigh,1Neigh-Nootropic
Nootropic,GRIN3A,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1S,1Neigh,1Neigh-Nootropic
Nootropic,CATSPERE,1Neigh,1Neigh-Nootropic
Nootropic,GRIN1,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1F,1Neigh,1Neigh-Nootropic
Nootropic,CATSPERD,1Neigh,1Neigh-Nootropic
Nootropic,CACNA2D4,1Neigh,1Neigh-Nootropic
Nootropic,CACNG7,1Neigh,1Neigh-Nootropic
Nootropic,HSPA2,1Neigh,1Neigh-Nootropic
Nootropic,CAMK2B,1Neigh,1Neigh-Nootropic
Nootropic,EFCAB9,1Neigh,1Neigh-Nootropic
Nootropic,FKBP1A,1Neigh,1Neigh-Nootropic
Nootropic,CATSPERG,1Neigh,1Neigh-Nootropic
Nootropic,CATSPER4,1Neigh,1Neigh-Nootropic
Nootropic,GRIA1,1Neigh,1Neigh-Nootropic
Nootropic,TMEM262,1Neigh,1Neigh-Nootropic
Nootropic,CACNG5,1Neigh,1Neigh-Nootropic
Nootropic,CACNB4,1Neigh,1Neigh-Nootropic
Nootropic,SHISA9,1Neigh,1Neigh-Nootropic
Nootropic,TMEM249,1Neigh,1Neigh-Nootropic
Nootropic,GRIN2B,1Neigh,1Neigh-Nootropic
Nootropic,PSMA4,1Neigh,1Neigh-Nootropic
Nootropic,PSMC4,1Neigh,1Neigh-Nootropic
Nootropic,PSMD8,1Neigh,1Neigh-Nootropic
Nootropic,PSMA3,1Neigh,1Neigh-Nootropic
Nootropic,PSME2,1Neigh,1Neigh-Nootropic
Nootropic,PSMD7,1Neigh,1Neigh-Nootropic
Nootropic,PSMA2,1Neigh,1Neigh-Nootropic
Nootropic,CSF3,1Neigh,1Neigh-Nootropic
Nootropic,NEDD8,1Neigh,1Neigh-Nootropic
Nootropic,EIF2S1,1Neigh,1Neigh-Nootropic
Nootropic,SORT1,1Neigh,1Neigh-Nootropic
Nootropic,AKIRIN2,1Neigh,1Neigh-Nootropic
Nootropic,CCT7,1Neigh,1Neigh-Nootropic
Nootropic,PSMB7,1Neigh,1Neigh-Nootropic
Nootropic,PSMC1,1Neigh,1Neigh-Nootropic
Nootropic,PSMA6,1Neigh,1Neigh-Nootropic
Nootropic,USP14,1Neigh,1Neigh-Nootropic
Nootropic,PSMD11,1Neigh,1Neigh-Nootropic
Nootropic,PSMB1,1Neigh,1Neigh-Nootropic
Nootropic,DESI1,1Neigh,1Neigh-Nootropic
Nootropic,PSMD3,1Neigh,1Neigh-Nootropic
Nootropic,PSMB6,1Neigh,1Neigh-Nootropic
Nootropic,RPS27A,1Neigh,1Neigh-Nootropic
Nootropic,CCT5,1Neigh,1Neigh-Nootropic
Nootropic,CCT8,1Neigh,1Neigh-Nootropic
Nootropic,PSMG3,1Neigh,1Neigh-Nootropic
Nootropic,PSMB4,1Neigh,1Neigh-Nootropic
Nootropic,PSME3,1Neigh,1Neigh-Nootropic
Nootropic,CCT3,1Neigh,1Neigh-Nootropic
Nootropic,UBXN7,1Neigh,1Neigh-Nootropic
Nootropic,CCT2,1Neigh,1Neigh-Nootropic
Nootropic,RPL15,1Neigh,1Neigh-Nootropic
Nootropic,PSMD1,1Neigh,1Neigh-Nootropic
Nootropic,PSMD2,1Neigh,1Neigh-Nootropic
Nootropic,PSMC5,1Neigh,1Neigh-Nootropic
Nootropic,PSMA8,1Neigh,1Neigh-Nootropic
Nootropic,PSMG2,1Neigh,1Neigh-Nootropic
Nootropic,PSMG1,1Neigh,1Neigh-Nootropic
Nootropic,EEF1G,1Neigh,1Neigh-Nootropic
Nootropic,PSMF1,1Neigh,1Neigh-Nootropic
Nootropic,EEF1A1,1Neigh,1Neigh-Nootropic
Nootropic,RPS2,1Neigh,1Neigh-Nootropic
Nootropic,PSMD12,1Neigh,1Neigh-Nootropic
Nootropic,PSMB10,1Neigh,1Neigh-Nootropic
Nootropic,VCP,1Neigh,1Neigh-Nootropic
Nootropic,PSMB5,1Neigh,1Neigh-Nootropic
Nootropic,PRKN,1Neigh,1Neigh-Nootropic
Nootropic,UCHL5,1Neigh,1Neigh-Nootropic
Nootropic,UBQLN4,1Neigh,1Neigh-Nootropic
Nootropic,PSMD4,1Neigh,1Neigh-Nootropic
Nootropic,PSMA7,1Neigh,1Neigh-Nootropic
Nootropic,PSMB2,1Neigh,1Neigh-Nootropic
Nootropic,EIF3I,1Neigh,1Neigh-Nootropic
Nootropic,PSMB9,1Neigh,1Neigh-Nootropic
Nootropic,PSMB8,1Neigh,1Neigh-Nootropic
Nootropic,POMP,1Neigh,1Neigh-Nootropic
Nootropic,PSME1,1Neigh,1Neigh-Nootropic
Nootropic,PSME4,1Neigh,1Neigh-Nootropic
Nootropic,PSMB11,1Neigh,1Neigh-Nootropic
Nootropic,PSMD14,1Neigh,1Neigh-Nootropic
Nootropic,UBA52,1Neigh,1Neigh-Nootropic
Nootropic,RPSA,1Neigh,1Neigh-Nootropic
Nootropic,PSMC2,1Neigh,1Neigh-Nootropic
Nootropic,PSMD13,1Neigh,1Neigh-Nootropic
Nootropic,PSMA1,1Neigh,1Neigh-Nootropic
Nootropic,PSMD6,1Neigh,1Neigh-Nootropic
Nootropic,KIAA2012,1Neigh,1Neigh-Nootropic
Nootropic,RACK1,1Neigh,1Neigh-Nootropic
Nootropic,UBE2V2,1Neigh,1Neigh-Nootropic
Nootropic,RPS20,1Neigh,1Neigh-Nootropic
Nootropic,UBC,1Neigh,1Neigh-Nootropic
Nootropic,UBB,1Neigh,1Neigh-Nootropic
Nootropic,ADRM1,1Neigh,1Neigh-Nootropic
Nootropic,PSMC3,1Neigh,1Neigh-Nootropic
Nootropic,PSMB3,1Neigh,1Neigh-Nootropic
Nootropic,TGFB1,1Neigh,1Neigh-Nootropic
Nootropic,COL1A1,1Neigh,1Neigh-Nootropic
Nootropic,VTN,1Neigh,1Neigh-Nootropic
Nootropic,TGFB3,1Neigh,1Neigh-Nootropic
Nootropic,TNN,1Neigh,1Neigh-Nootropic
Nootropic,VASP,1Neigh,1Neigh-Nootropic
Nootropic,THBS1,1Neigh,1Neigh-Nootropic
Nootropic,VWF,1Neigh,1Neigh-Nootropic
Nootropic,ITGA2B,1Neigh,1Neigh-Nootropic
Nootropic,TNC,1Neigh,1Neigh-Nootropic
Nootropic,COL6A3,1Neigh,1Neigh-Nootropic
Nootropic,COL1A2,1Neigh,1Neigh-Nootropic
Nootropic,LTBP3,1Neigh,1Neigh-Nootropic
Nootropic,TLN1,1Neigh,1Neigh-Nootropic
Nootropic,FLNC,1Neigh,1Neigh-Nootropic
Nootropic,PARVA,1Neigh,1Neigh-Nootropic
Nootropic,CAV1,1Neigh,1Neigh-Nootropic
Nootropic,THBS4,1Neigh,1Neigh-Nootropic
Nootropic,CRKL,1Neigh,1Neigh-Nootropic
Nootropic,FN1,1Neigh,1Neigh-Nootropic
Nootropic,ITGAL,1Neigh,1Neigh-Nootropic
Nootropic,COL4A2,1Neigh,1Neigh-Nootropic
Nootropic,LAMC3,1Neigh,1Neigh-Nootropic
Nootropic,THBS2,1Neigh,1Neigh-Nootropic
Nootropic,TNR,1Neigh,1Neigh-Nootropic
Nootropic,THBS3,1Neigh,1Neigh-Nootropic
Nootropic,FLNA,1Neigh,1Neigh-Nootropic
Nootropic,SRC,1Neigh,1Neigh-Nootropic
Nootropic,ITGAD,1Neigh,1Neigh-Nootropic
Nootropic,ACTN1,1Neigh,1Neigh-Nootropic
Nootropic,SPP1,1Neigh,1Neigh-Nootropic
Nootropic,COL4A3,1Neigh,1Neigh-Nootropic
Nootropic,ITGB2,1Neigh,1Neigh-Nootropic
Nootropic,PARVB,1Neigh,1Neigh-Nootropic
Nootropic,PARVG,1Neigh,1Neigh-Nootropic
Nootropic,TNXB,1Neigh,1Neigh-Nootropic
Nootropic,ITGB3,1Neigh,1Neigh-Nootropic
Nootropic,TLN2,1Neigh,1Neigh-Nootropic
Nootropic,ACTG1,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1E,1Neigh,1Neigh-Nootropic
Nootropic,CACNA1B,1Neigh,1Neigh-Nootropic
Nootropic,SESN1,1Neigh,1Neigh-Nootropic
Nootropic,ADCY8,1Neigh,1Neigh-Nootropic
Nootropic,DCK,1Neigh,1Neigh-Nootropic
Nootropic,ADCY9,1Neigh,1Neigh-Nootropic
Nootropic,ADCY1,1Neigh,1Neigh-Nootropic
Nootropic,ADRB2,1Neigh,1Neigh-Nootropic
Nootropic,PRKACA,1Neigh,1Neigh-Nootropic
Nootropic,ADCY6,1Neigh,1Neigh-Nootropic
Nootropic,ADCY4,1Neigh,1Neigh-Nootropic
Nootropic,PDE4B,1Neigh,1Neigh-Nootropic
Nootropic,ADCY2,1Neigh,1Neigh-Nootropic
Nootropic,AKAP9,1Neigh,1Neigh-Nootropic
Nootropic,PDE4DIP,1Neigh,1Neigh-Nootropic
Nootropic,PRKACB,1Neigh,1Neigh-Nootropic
Nootropic,PRKACG,1Neigh,1Neigh-Nootropic
Nootropic,APRT,1Neigh,1Neigh-Nootropic
Nootropic,AK3,1Neigh,1Neigh-Nootropic
Nootropic,ADCY3,1Neigh,1Neigh-Nootropic
Nootropic,RAPGEF3,1Neigh,1Neigh-Nootropic
Nootropic,ARRB2,1Neigh,1Neigh-Nootropic
Nootropic,ENPP3,1Neigh,1Neigh-Nootropic
Nootropic,ADK,1Neigh,1Neigh-Nootropic
Nootropic,ADSL,1Neigh,1Neigh-Nootropic
Nootropic,STX1A,1Neigh,1Neigh-Nootropic
Nootropic,GNB3,1Neigh,1Neigh-Nootropic
Nootropic,SNAP25,1Neigh,1Neigh-Nootropic
Nootropic,KCNMB4,1Neigh,1Neigh-Nootropic
Nootropic,HTR2B,1Neigh,1Neigh-Nootropic
Nootropic,PRKCG,1Neigh,1Neigh-Nootropic
Nootropic,ATP2B3,1Neigh,1Neigh-Nootropic
Nootropic,PRKG2,1Neigh,1Neigh-Nootropic
Nootropic,KCNN2,1Neigh,1Neigh-Nootropic
Nootropic,KCNMB1,1Neigh,1Neigh-Nootropic
Nootropic,HTR2C,1Neigh,1Neigh-Nootropic
Nootropic,KCNMA1,1Neigh,1Neigh-Nootropic
Nootropic,CALM3,1Neigh,1Neigh-Nootropic
Nootropic,SHANK1,1Neigh,1Neigh-Nootropic
Nootropic,CALML6,1Neigh,1Neigh-Nootropic
Nootropic,ITPR1,1Neigh,1Neigh-Nootropic
Nootropic,LRRC7,1Neigh,1Neigh-Nootropic
