Compound,Protein,Neighborhood_1,Tag
Sleep,ERCC1,1Neigh,1Neigh-Sleep
Sleep,SIRT1,1Neigh,1Neigh-Sleep
Sleep,GZMB,1Neigh,1Neigh-Sleep
Sleep,APEX1,1Neigh,1Neigh-Sleep
Sleep,NFKB1,1Neigh,1Neigh-Sleep
Sleep,CCND1,1Neigh,1Neigh-Sleep
Sleep,MSH2,1Neigh,1Neigh-Sleep
Sleep,MSH6,1Neigh,1Neigh-Sleep
Sleep,SNAI1,1Neigh,1Neigh-Sleep
Sleep,H4C6,1Neigh,1Neigh-Sleep
Sleep,PARP2,1Neigh,1Neigh-Sleep
Sleep,RPA1,1Neigh,1Neigh-Sleep
Sleep,H3-3B,1Neigh,1Neigh-Sleep
Sleep,MACROD1,1Neigh,1Neigh-Sleep
Sleep,CCNB1,1Neigh,1Neigh-Sleep
Sleep,CDK7,1Neigh,1Neigh-Sleep
Sleep,DDB2,1Neigh,1Neigh-Sleep
Sleep,CDK4,1Neigh,1Neigh-Sleep
Sleep,BARD1,1Neigh,1Neigh-Sleep
Sleep,PALB2,1Neigh,1Neigh-Sleep
Sleep,YY1,1Neigh,1Neigh-Sleep
Sleep,CREBBP,1Neigh,1Neigh-Sleep
Sleep,XRCC1,1Neigh,1Neigh-Sleep
Sleep,PIAS4,1Neigh,1Neigh-Sleep
Sleep,MAPK3,1Neigh,1Neigh-Sleep
Sleep,EP300,1Neigh,1Neigh-Sleep
Sleep,LIG1,1Neigh,1Neigh-Sleep
Sleep,BRD4,1Neigh,1Neigh-Sleep
Sleep,WDR76,1Neigh,1Neigh-Sleep
Sleep,TOP2B,1Neigh,1Neigh-Sleep
Sleep,POLB,1Neigh,1Neigh-Sleep
Sleep,NBN,1Neigh,1Neigh-Sleep
Sleep,CDK2,1Neigh,1Neigh-Sleep
Sleep,TP53,1Neigh,1Neigh-Sleep
Sleep,ERBB2,1Neigh,1Neigh-Sleep
Sleep,RPS27A,1Neigh,1Neigh-Sleep
Sleep,EGFR,1Neigh,1Neigh-Sleep
Sleep,SSRP1,1Neigh,1Neigh-Sleep
