Compound,Protein,Neighborhood_1,Tag
Cell_growth,ACP3,Target,Target-Cell_growth
Cell_growth,LYAR,Target,Target-Cell_growth
Cell_growth,CEACAM1,Target,Target-Cell_growth
Cell_growth,STK11,Target,Target-Cell_growth
Cell_growth,KIT,Target,Target-Cell_growth
Cell_growth,DNPH1,Target,Target-Cell_growth
Cell_growth,MTPN,Target,Target-Cell_growth
Cell_growth,TSC1,Target,Target-Cell_growth
Cell_growth,SESN2,Target,Target-Cell_growth
Cell_growth,GAS1,Target,Target-Cell_growth
Cell_growth,SPHK2,Target,Target-Cell_growth
Cell_growth,FOXK1,Target,Target-Cell_growth
Cell_growth,RB1,Target,Target-Cell_growth
Cell_growth,DCSTAMP,Target,Target-Cell_growth
Cell_growth,SFRP2,Target,Target-Cell_growth
Cell_growth,SESN1,Target,Target-Cell_growth
Cell_growth,HRG,Target,Target-Cell_growth
Cell_growth,SLC25A33,Target,Target-Cell_growth
Cell_growth,SFN,Target,Target-Cell_growth
Cell_growth,REXO2,Target,Target-Cell_growth
Cell_growth,ABL1,Target,Target-Cell_growth
Cell_growth,NOS2,Target,Target-Cell_growth
Cell_growth,NANOS2,Target,Target-Cell_growth
Cell_growth,MAGI2,Target,Target-Cell_growth
Cell_growth,ATP6V1B1,Target,Target-Cell_growth
Cell_growth,PLA2R1,Target,Target-Cell_growth
Cell_growth,SPOCK1,Target,Target-Cell_growth
Cell_growth,TREM2,Target,Target-Cell_growth
Cell_growth,P4HB,Target,Target-Cell_growth
Cell_growth,PROM1,Target,Target-Cell_growth
Cell_growth,MPEG1,Target,Target-Cell_growth
Cell_growth,PLXNA1,Target,Target-Cell_growth
Cell_growth,ITGB3,Target,Target-Cell_growth
Cell_growth,ABCA7,Target,Target-Cell_growth
Cell_growth,HAVCR2,Target,Target-Cell_growth
Cell_growth,CD44,Target,Target-Cell_growth
Cell_growth,GLYAT,Target,Target-Cell_growth
Cell_growth,CAT,Target,Target-Cell_growth
Cell_growth,LGALS9,Target,Target-Cell_growth
Cell_growth,ATP6V1B2,Target,Target-Cell_growth
Cell_growth,CTSH,Target,Target-Cell_growth
Cell_growth,MARCHF7,Target,Target-Cell_growth
Cell_growth,TGFB2,Target,Target-Cell_growth
Cell_growth,SLC1A7,Target,Target-Cell_growth
Cell_growth,NFIB,Target,Target-Cell_growth
Cell_growth,GAS6,Target,Target-Cell_growth
Cell_growth,AKT1,Target,Target-Cell_growth
Cell_growth,RPS3,Target,Target-Cell_growth
Cell_growth,RPS11,Target,Target-Cell_growth
Cell_growth,RDX,Target,Target-Cell_growth
Cell_growth,NFATC1,Target,Target-Cell_growth
Cell_growth,CD34,Target,Target-Cell_growth
