Compound,Protein,Neighborhood_1,Tag
Immune_system,GGT1,Target,Target-Immune_system
Immune_system,SOX9,Target,Target-Immune_system
Immune_system,MYO1D,Target,Target-Immune_system
Immune_system,LRFN5,Target,Target-Immune_system
Immune_system,SEMA3G,Target,Target-Immune_system
Immune_system,TRIM31,Target,Target-Immune_system
Immune_system,PRKCD,Target,Target-Immune_system
Immune_system,PARP1,Target,Target-Immune_system
Immune_system,PPP6C,Target,Target-Immune_system
Immune_system,LGALS9,Target,Target-Immune_system
Immune_system,CLU,Target,Target-Immune_system
Immune_system,RIGI,Target,Target-Immune_system
Immune_system,NR2C2,Target,Target-Immune_system
Immune_system,MAP3K7,Target,Target-Immune_system
Immune_system,EDAR,Target,Target-Immune_system
Immune_system,NRROS,Target,Target-Immune_system
Immune_system,MAP3K14,Target,Target-Immune_system
Immune_system,IRF8,Target,Target-Immune_system
Immune_system,CEBPG,Target,Target-Immune_system
Immune_system,CLEC4E,Target,Target-Immune_system
Immune_system,CX3CR1,Target,Target-Immune_system
Immune_system,MARCHF1,Target,Target-Immune_system
Immune_system,SLPI,Target,Target-Immune_system
Immune_system,NSL1,Target,Target-Immune_system
Immune_system,KANSL1,Target,Target-Immune_system
Immune_system,MEF2C,Target,Target-Immune_system
Immune_system,GPR183,Target,Target-Immune_system
Immune_system,RIPK2,Target,Target-Immune_system
Immune_system,ITK,Target,Target-Immune_system
Immune_system,TNFRSF21,Target,Target-Immune_system
Immune_system,TFE3,Target,Target-Immune_system
Immune_system,TFEB,Target,Target-Immune_system
Immune_system,TXK,Target,Target-Immune_system
Immune_system,ALOX5,Target,Target-Immune_system
Immune_system,FFAR3,Target,Target-Immune_system
Immune_system,CD160,Target,Target-Immune_system
Immune_system,IFNL2,Target,Target-Immune_system
Immune_system,FFAR2,Target,Target-Immune_system
Immune_system,OTUD7B,Target,Target-Immune_system
Immune_system,IFNLR1,Target,Target-Immune_system
Immune_system,SLC22A3,Target,Target-Immune_system
Immune_system,SLC6A4,Target,Target-Immune_system
Immune_system,TRPV2,Target,Target-Immune_system
Immune_system,SLC2A4,Target,Target-Immune_system
Immune_system,RHEB,Target,Target-Immune_system
Immune_system,NBEA,Target,Target-Immune_system
Immune_system,SLC50A1,Target,Target-Immune_system
Immune_system,CDH17,Target,Target-Immune_system
Immune_system,MYO1G,Target,Target-Immune_system
Immune_system,CD19,Target,Target-Immune_system
Immune_system,ZP3,Target,Target-Immune_system
Immune_system,FCMR,Target,Target-Immune_system
Immune_system,HAVCR2,Target,Target-Immune_system
Immune_system,SYK,Target,Target-Immune_system
Immune_system,CLEC7A,Target,Target-Immune_system
Immune_system,SH2D1B,Target,Target-Immune_system
Immune_system,PRF1,Target,Target-Immune_system
Immune_system,RIPK3,Target,Target-Immune_system
Immune_system,SPNS2,Target,Target-Immune_system
Immune_system,ADCY7,Target,Target-Immune_system
Immune_system,LYN,Target,Target-Immune_system
Immune_system,WDR1,Target,Target-Immune_system
Immune_system,CARD9,Target,Target-Immune_system
Immune_system,JAGN1,Target,Target-Immune_system
Immune_system,KMT2E,Target,Target-Immune_system
Immune_system,LTV1,Target,Target-Immune_system
Immune_system,UBIAD1,Target,Target-Immune_system
Immune_system,RBM45,Target,Target-Immune_system
Immune_system,ARNT2,Target,Target-Immune_system
Immune_system,DPF3,Target,Target-Immune_system
Immune_system,PIAS4,Target,Target-Immune_system
Immune_system,RCC1,Target,Target-Immune_system
Immune_system,RAB5A,Target,Target-Immune_system
Immune_system,BCAR1,Target,Target-Immune_system
Immune_system,CSE1L,Target,Target-Immune_system
Immune_system,SMN1; SMN2,Target,Target-Immune_system
Immune_system,SNRPN,Target,Target-Immune_system
Immune_system,PROS1,Target,Target-Immune_system
Immune_system,TRH,Target,Target-Immune_system
Immune_system,CHN1,Target,Target-Immune_system
Immune_system,NR4A3,Target,Target-Immune_system
Immune_system,SGCE,Target,Target-Immune_system
Immune_system,MAS1,Target,Target-Immune_system
Immune_system,EPHB2,Target,Target-Immune_system
Immune_system,OSR1,Target,Target-Immune_system
Immune_system,OXSR1,Target,Target-Immune_system
Immune_system,KIAA1217,Target,Target-Immune_system
Immune_system,KIF26A,Target,Target-Immune_system
Immune_system,ELP3,Target,Target-Immune_system
Immune_system,MBNL1,Target,Target-Immune_system
Immune_system,B4GALT6,Target,Target-Immune_system
Immune_system,ABAT,Target,Target-Immune_system
Immune_system,GATA3,Target,Target-Immune_system
Immune_system,NRSN1,Target,Target-Immune_system
Immune_system,DMBX1,Target,Target-Immune_system
Immune_system,SH3PXD2B,Target,Target-Immune_system
Immune_system,ACTL6A,Target,Target-Immune_system
Immune_system,FOXE1,Target,Target-Immune_system
Immune_system,NTRK1,Target,Target-Immune_system
Immune_system,NKX3-1,Target,Target-Immune_system
Immune_system,NHLH2,Target,Target-Immune_system
Immune_system,VPS13B,Target,Target-Immune_system
Immune_system,MMP14,Target,Target-Immune_system
Immune_system,SRRM4,Target,Target-Immune_system
Immune_system,SULF1,Target,Target-Immune_system
Immune_system,ACTL6B,Target,Target-Immune_system
Immune_system,PAX8,Target,Target-Immune_system
Immune_system,DPF1,Target,Target-Immune_system
Immune_system,XYLT1,Target,Target-Immune_system
Immune_system,RAPGEF2,Target,Target-Immune_system
Immune_system,ADGRA2,Target,Target-Immune_system
Immune_system,RTN4,Target,Target-Immune_system
Immune_system,ID3,Target,Target-Immune_system
Immune_system,PHACTR4,Target,Target-Immune_system
Immune_system,NPR3,Target,Target-Immune_system
Immune_system,CRB2,Target,Target-Immune_system
Immune_system,DDO,Target,Target-Immune_system
Immune_system,PAX2,Target,Target-Immune_system
Immune_system,GDNF,Target,Target-Immune_system
Immune_system,ESS2,Target,Target-Immune_system
Immune_system,PHF10,Target,Target-Immune_system
Immune_system,SULF2,Target,Target-Immune_system
Immune_system,TEAD2,Target,Target-Immune_system
Immune_system,LGMN,Target,Target-Immune_system
Immune_system,RIPPLY3,Target,Target-Immune_system
Immune_system,ASCL1,Target,Target-Immune_system
Immune_system,MAG,Target,Target-Immune_system
Immune_system,ERBB4,Target,Target-Immune_system
Immune_system,EPHB3,Target,Target-Immune_system
Immune_system,NRCAM,Target,Target-Immune_system
Immune_system,TFAP2A,Target,Target-Immune_system
Immune_system,B4GALT5,Target,Target-Immune_system
Immune_system,ADNP2,Target,Target-Immune_system
Immune_system,ANPEP,Target,Target-Immune_system
Immune_system,FGF17,Target,Target-Immune_system
Immune_system,NEUROG1,Target,Target-Immune_system
Immune_system,ZC4H2,Target,Target-Immune_system
Immune_system,SARM1,Target,Target-Immune_system
Immune_system,INTU,Target,Target-Immune_system
Immune_system,FOXI3,Target,Target-Immune_system
Immune_system,POU3F2,Target,Target-Immune_system
Immune_system,COL2A1,Target,Target-Immune_system
Immune_system,SPTBN1,Target,Target-Immune_system
Immune_system,SOX8,Target,Target-Immune_system
Immune_system,SOX4,Target,Target-Immune_system
Immune_system,SOX11,Target,Target-Immune_system
Immune_system,SOX10,Target,Target-Immune_system
Immune_system,ECEL1,Target,Target-Immune_system
Immune_system,SIX4,Target,Target-Immune_system
Immune_system,TBX1,Target,Target-Immune_system
Immune_system,SMARCA4,Target,Target-Immune_system
Immune_system,MEGF8,Target,Target-Immune_system
Immune_system,TRIM72,Target,Target-Immune_system
Immune_system,SIX1,Target,Target-Immune_system
Immune_system,FUZ,Target,Target-Immune_system
Immune_system,MYRF,Target,Target-Immune_system
Immune_system,NLGN1,Target,Target-Immune_system
Immune_system,DLL3,Target,Target-Immune_system
Immune_system,FOXB1,Target,Target-Immune_system
Immune_system,SCX,Target,Target-Immune_system
Immune_system,NXN,Target,Target-Immune_system
Immune_system,ATP6AP2,Target,Target-Immune_system
Immune_system,MYT1L,Target,Target-Immune_system
Immune_system,DHX30,Target,Target-Immune_system
Immune_system,DEAF1,Target,Target-Immune_system
Immune_system,RAB26,Target,Target-Immune_system
Immune_system,APP,Target,Target-Immune_system
Immune_system,BCL10,Target,Target-Immune_system
Immune_system,ZDHHC11,Target,Target-Immune_system
Immune_system,TRIM56,Target,Target-Immune_system
Immune_system,ZDHHC1,Target,Target-Immune_system
Immune_system,IFIH1,Target,Target-Immune_system
Immune_system,ALPK1,Target,Target-Immune_system
Immune_system,SMAD3,Target,Target-Immune_system
Immune_system,DHX15,Target,Target-Immune_system
Immune_system,SENP7,Target,Target-Immune_system
Immune_system,CAMP,Target,Target-Immune_system
Immune_system,CHAMP1,Target,Target-Immune_system
Immune_system,WASHC1,Target,Target-Immune_system
Immune_system,BST2,Target,Target-Immune_system
Immune_system,NLRP6,Target,Target-Immune_system
Immune_system,MPEG1,Target,Target-Immune_system
Immune_system,TRIM8,Target,Target-Immune_system
Immune_system,NMB,Target,Target-Immune_system
Immune_system,GPNMB,Target,Target-Immune_system
Immune_system,TLR4,Target,Target-Immune_system
Immune_system,BPIFA1,Target,Target-Immune_system
Immune_system,LCN2,Target,Target-Immune_system
Immune_system,KRT16,Target,Target-Immune_system
Immune_system,DENND1B,Target,Target-Immune_system
Immune_system,IRAK1,Target,Target-Immune_system
Immune_system,GPR108,Target,Target-Immune_system
Immune_system,MARCHF2,Target,Target-Immune_system
Immune_system,IRGM,Target,Target-Immune_system
Immune_system,MSRB1,Target,Target-Immune_system
Immune_system,RNASE6,Target,Target-Immune_system
Immune_system,TMEM120A,Target,Target-Immune_system
Immune_system,PML,Target,Target-Immune_system
Immune_system,TRIM10,Target,Target-Immune_system
Immune_system,RNF135,Target,Target-Immune_system
Immune_system,GARIN5A,Target,Target-Immune_system
Immune_system,MFHAS1,Target,Target-Immune_system
Immune_system,TRIM11,Target,Target-Immune_system
Immune_system,SPPL2A,Target,Target-Immune_system
Immune_system,CLEC6A,Target,Target-Immune_system
Immune_system,CLEC5A,Target,Target-Immune_system
Immune_system,ENTPD7,Target,Target-Immune_system
Immune_system,STING1,Target,Target-Immune_system
Immune_system,IRF5,Target,Target-Immune_system
Immune_system,CYBA,Target,Target-Immune_system
Immune_system,TRIM27,Target,Target-Immune_system
Immune_system,CYBC1,Target,Target-Immune_system
Immune_system,CYBB,Target,Target-Immune_system
Immune_system,NLRC5,Target,Target-Immune_system
Immune_system,TRIM25,Target,Target-Immune_system
Immune_system,DEFB1,Target,Target-Immune_system
Immune_system,DEFB108B,Target,Target-Immune_system
Immune_system,ANG,Target,Target-Immune_system
Immune_system,FGL1,Target,Target-Immune_system
Immune_system,LAG3,Target,Target-Immune_system
Immune_system,TRIM59,Target,Target-Immune_system
Immune_system,CLEC4D,Target,Target-Immune_system
Immune_system,RAB2B,Target,Target-Immune_system
Immune_system,ZAR1,Target,Target-Immune_system
Immune_system,TNFRSF9,Target,Target-Immune_system
Immune_system,MALT1,Target,Target-Immune_system
Immune_system,NMBR,Target,Target-Immune_system
Immune_system,RASGRP4,Target,Target-Immune_system
Immune_system,ANGPT4,Target,Target-Immune_system
Immune_system,AIRE,Target,Target-Immune_system
Immune_system,ENPP3,Target,Target-Immune_system
Immune_system,DNASE1,Target,Target-Immune_system
Immune_system,IL33,Target,Target-Immune_system
Immune_system,F2RL1,Target,Target-Immune_system
Immune_system,DNASE1L3,Target,Target-Immune_system
Immune_system,HMGB1,Target,Target-Immune_system
Immune_system,SBNO2,Target,Target-Immune_system
Immune_system,MDK,Target,Target-Immune_system
Immune_system,TYROBP,Target,Target-Immune_system
Immune_system,PYCARD,Target,Target-Immune_system
Immune_system,EIF2AK4,Target,Target-Immune_system
Immune_system,DOCK2,Target,Target-Immune_system
Immune_system,CD244,Target,Target-Immune_system
Immune_system,FCER1G,Target,Target-Immune_system
Immune_system,IFNB1,Target,Target-Immune_system
Immune_system,SAMSN1,Target,Target-Immune_system
Immune_system,ARG2,Target,Target-Immune_system
Immune_system,NLRP3,Target,Target-Immune_system
Immune_system,AKIRIN2,Target,Target-Immune_system
Immune_system,PLA2G5,Target,Target-Immune_system
Immune_system,FADD,Target,Target-Immune_system
Immune_system,ALOX15,Target,Target-Immune_system
Immune_system,PRKCQ,Target,Target-Immune_system
Immune_system,NLRP10,Target,Target-Immune_system
Immune_system,ARID5A,Target,Target-Immune_system
Immune_system,PLA2G4A,Target,Target-Immune_system
Immune_system,CD4,Target,Target-Immune_system
Immune_system,THY1,Target,Target-Immune_system
Immune_system,RC3H1,Target,Target-Immune_system
Immune_system,NFKBIZ,Target,Target-Immune_system
Immune_system,THEMIS,Target,Target-Immune_system
Immune_system,PLCG2,Target,Target-Immune_system
Immune_system,PRKCB,Target,Target-Immune_system
Immune_system,CD79A,Target,Target-Immune_system
Immune_system,SPPL3,Target,Target-Immune_system
Immune_system,PTPRC,Target,Target-Immune_system
Immune_system,ZC3H12A,Target,Target-Immune_system
Immune_system,KLHL6,Target,Target-Immune_system
Immune_system,RFTN1,Target,Target-Immune_system
Immune_system,MASP1,Target,Target-Immune_system
Immune_system,RC3H2,Target,Target-Immune_system
Immune_system,NFKBID,Target,Target-Immune_system
Immune_system,CTSH,Target,Target-Immune_system
Immune_system,EMP2,Target,Target-Immune_system
Immune_system,CTSC,Target,Target-Immune_system
Immune_system,GCM2,Target,Target-Immune_system
Immune_system,FER,Target,Target-Immune_system
Immune_system,CTSL,Target,Target-Immune_system
Immune_system,JAM2,Target,Target-Immune_system
Immune_system,GRN,Target,Target-Immune_system
Immune_system,TREM2,Target,Target-Immune_system
Immune_system,SEMA4A,Target,Target-Immune_system
Immune_system,TNFSF18,Target,Target-Immune_system
Immune_system,LRRC17,Target,Target-Immune_system
Immune_system,GBP1,Target,Target-Immune_system
Immune_system,ZBP1,Target,Target-Immune_system
Immune_system,IGF2BP1,Target,Target-Immune_system
Immune_system,ZNFX1,Target,Target-Immune_system
Immune_system,ATL1,Target,Target-Immune_system
Immune_system,GBP3,Target,Target-Immune_system
Immune_system,TLR9,Target,Target-Immune_system
Immune_system,NLRC4,Target,Target-Immune_system
Immune_system,GBP7,Target,Target-Immune_system
Immune_system,ZCCHC3,Target,Target-Immune_system
Immune_system,AIM2,Target,Target-Immune_system
Immune_system,CGAS,Target,Target-Immune_system
Immune_system,GBP5,Target,Target-Immune_system
Immune_system,GBP2,Target,Target-Immune_system
Immune_system,SIRT2,Target,Target-Immune_system
Immune_system,NCMAP,Target,Target-Immune_system
Immune_system,ABCA2,Target,Target-Immune_system
Immune_system,ACTN3,Target,Target-Immune_system
Immune_system,TRIM9,Target,Target-Immune_system
Immune_system,RAB35,Target,Target-Immune_system
Immune_system,NOCT,Target,Target-Immune_system
Immune_system,HECA,Target,Target-Immune_system
Immune_system,MYOC,Target,Target-Immune_system
Immune_system,TENM4,Target,Target-Immune_system
Immune_system,BRINP1,Target,Target-Immune_system
Immune_system,DAG1,Target,Target-Immune_system
Immune_system,ADGRG6,Target,Target-Immune_system
Immune_system,SPOCK1,Target,Target-Immune_system
Immune_system,NTRK2,Target,Target-Immune_system
Immune_system,BRINP3,Target,Target-Immune_system
Immune_system,NOVA2,Target,Target-Immune_system
Immune_system,BRINP2,Target,Target-Immune_system
Immune_system,HTR2C,Target,Target-Immune_system
Immune_system,NDRG1,Target,Target-Immune_system
Immune_system,PRX,Target,Target-Immune_system
Immune_system,ARHGAP35,Target,Target-Immune_system
Immune_system,PARD3,Target,Target-Immune_system
Immune_system,TAOK1,Target,Target-Immune_system
Immune_system,PALS1,Target,Target-Immune_system
Immune_system,FTO,Target,Target-Immune_system
Immune_system,APLF,Target,Target-Immune_system
Immune_system,CDC42EP3,Target,Target-Immune_system
Immune_system,CDC42EP2,Target,Target-Immune_system
Immune_system,CEP250,Target,Target-Immune_system
Immune_system,MIOS,Target,Target-Immune_system
Immune_system,MAP3K5,Target,Target-Immune_system
Immune_system,LRP8,Target,Target-Immune_system
Immune_system,N4BP1,Target,Target-Immune_system
Immune_system,GPR31,Target,Target-Immune_system
Immune_system,NFE2L2,Target,Target-Immune_system
Immune_system,APLP2,Target,Target-Immune_system
Immune_system,APPL2,Target,Target-Immune_system
Immune_system,CASP8,Target,Target-Immune_system
Immune_system,PDCD1,Target,Target-Immune_system
Immune_system,CLDN2,Target,Target-Immune_system
Immune_system,APOE,Target,Target-Immune_system
Immune_system,APPL1,Target,Target-Immune_system
Immune_system,FGR,Target,Target-Immune_system
Immune_system,PNMA1,Target,Target-Immune_system
Immune_system,CEBPB,Target,Target-Immune_system
Immune_system,PDPN,Target,Target-Immune_system
Immune_system,ZBTB1,Target,Target-Immune_system
Immune_system,PCID2,Target,Target-Immune_system
Immune_system,RORC,Target,Target-Immune_system
Immune_system,TCF21,Target,Target-Immune_system
Immune_system,WDR55,Target,Target-Immune_system
Immune_system,PLXNA1,Target,Target-Immune_system
Immune_system,SEMA6D,Target,Target-Immune_system
Immune_system,MAPKAPK3,Target,Target-Immune_system
Immune_system,RPS6KA3,Target,Target-Immune_system
Immune_system,TRAF3,Target,Target-Immune_system
Immune_system,SCIMP,Target,Target-Immune_system
Immune_system,TNIP1,Target,Target-Immune_system
Immune_system,REG3G,Target,Target-Immune_system
Immune_system,MAPKAPK2,Target,Target-Immune_system
Immune_system,POLQ,Target,Target-Immune_system
Immune_system,HMCES,Target,Target-Immune_system
Immune_system,SAMHD1,Target,Target-Immune_system
Immune_system,TRIM62,Target,Target-Immune_system
Immune_system,PTPN22,Target,Target-Immune_system
Immune_system,GJA1,Target,Target-Immune_system
Immune_system,RHOH,Target,Target-Immune_system
Immune_system,DOCK8,Target,Target-Immune_system
Immune_system,PHB1,Target,Target-Immune_system
Immune_system,CD86,Target,Target-Immune_system
