Compound,Protein,Neighborhood_1,Tag
Immune_system,MBOAT4,Target,Target-Immune_system
Immune_system,SUPT6H,Target,Target-Immune_system
Immune_system,ZDHHC7,Target,Target-Immune_system
Immune_system,HENMT1,Target,Target-Immune_system
Immune_system,BDH2,Target,Target-Immune_system
Immune_system,GNPTAB,Target,Target-Immune_system
Immune_system,DHX34,Target,Target-Immune_system
Immune_system,CEP41,Target,Target-Immune_system
Immune_system,PARP1,Target,Target-Immune_system
Immune_system,TTLL6,Target,Target-Immune_system
Immune_system,TTLL3,Target,Target-Immune_system
Immune_system,PIWIL2,Target,Target-Immune_system
Immune_system,TBP,Target,Target-Immune_system
Immune_system,UBIAD1,Target,Target-Immune_system
Immune_system,PEX12,Target,Target-Immune_system
Immune_system,NBAS,Target,Target-Immune_system
Immune_system,LDHD,Target,Target-Immune_system
Immune_system,SPHK2,Target,Target-Immune_system
Immune_system,INS,Target,Target-Immune_system
Immune_system,SLC1A2,Target,Target-Immune_system
Immune_system,RMI1,Target,Target-Immune_system
Immune_system,WAS,Target,Target-Immune_system
Immune_system,SAR1A,Target,Target-Immune_system
Immune_system,FDXR,Target,Target-Immune_system
Immune_system,GRIK1,Target,Target-Immune_system
Immune_system,EPC1,Target,Target-Immune_system
Immune_system,C14orf28,Target,Target-Immune_system
Immune_system,AURKB,Target,Target-Immune_system
Immune_system,SLC45A2,Target,Target-Immune_system
Immune_system,CRYBG1,Target,Target-Immune_system
Immune_system,ABHD16A,Target,Target-Immune_system
Immune_system,ACSL1,Target,Target-Immune_system
Immune_system,CCNB1IP1,Target,Target-Immune_system
Immune_system,ADAM8,Target,Target-Immune_system
Immune_system,SACM1L,Target,Target-Immune_system
Immune_system,CA1,Target,Target-Immune_system
Immune_system,CLN3,Target,Target-Immune_system
Immune_system,TRNT1,Target,Target-Immune_system
Immune_system,ABCD1,Target,Target-Immune_system
Immune_system,B3GALNT2,Target,Target-Immune_system
Immune_system,SNX14,Target,Target-Immune_system
Immune_system,KARS1,Target,Target-Immune_system
Immune_system,UGT8,Target,Target-Immune_system
Immune_system,XDH,Target,Target-Immune_system
Immune_system,PRMT1,Target,Target-Immune_system
Immune_system,ALDH1L1,Target,Target-Immune_system
Immune_system,NEDD4,Target,Target-Immune_system
Immune_system,NT5C2,Target,Target-Immune_system
Immune_system,MTHFD2L,Target,Target-Immune_system
Immune_system,CDC42BPA,Target,Target-Immune_system
Immune_system,BCO1,Target,Target-Immune_system
Immune_system,ALDH5A1,Target,Target-Immune_system
Immune_system,EHHADH,Target,Target-Immune_system
Immune_system,ABHD17A,Target,Target-Immune_system
Immune_system,SIRT2,Target,Target-Immune_system
Immune_system,GET1,Target,Target-Immune_system
Immune_system,CHD6,Target,Target-Immune_system
Immune_system,CHD5,Target,Target-Immune_system
Immune_system,PGP,Target,Target-Immune_system
Immune_system,ZFP36L1,Target,Target-Immune_system
Immune_system,CSAD,Target,Target-Immune_system
Immune_system,SULT1C2,Target,Target-Immune_system
Immune_system,SULT1C4,Target,Target-Immune_system
Immune_system,USP2,Target,Target-Immune_system
Immune_system,ACSL3,Target,Target-Immune_system
Immune_system,PRKACA,Target,Target-Immune_system
Immune_system,PRKCA,Target,Target-Immune_system
Immune_system,PCYT1A,Target,Target-Immune_system
Immune_system,FA2H,Target,Target-Immune_system
Immune_system,PTGDS,Target,Target-Immune_system
Immune_system,ALOX15,Target,Target-Immune_system
Immune_system,NDUFS2,Target,Target-Immune_system
Immune_system,NDST1,Target,Target-Immune_system
Immune_system,B3GNTL1,Target,Target-Immune_system
Immune_system,ISYNA1,Target,Target-Immune_system
Immune_system,ACSL4,Target,Target-Immune_system
