Compound,Protein,Neighborhood_1,Tag
Nervous_system,MYO1D,Target,Target-Nervous_system
Nervous_system,LRFN5,Target,Target-Nervous_system
Nervous_system,SEMA3G,Target,Target-Nervous_system
Nervous_system,RBM45,Target,Target-Nervous_system
Nervous_system,ARNT2,Target,Target-Nervous_system
Nervous_system,DPF3,Target,Target-Nervous_system
Nervous_system,PIAS4,Target,Target-Nervous_system
Nervous_system,RCC1,Target,Target-Nervous_system
Nervous_system,RAB5A,Target,Target-Nervous_system
Nervous_system,BCAR1,Target,Target-Nervous_system
Nervous_system,CSE1L,Target,Target-Nervous_system
Nervous_system,SMN1; SMN2,Target,Target-Nervous_system
Nervous_system,SNRPN,Target,Target-Nervous_system
Nervous_system,PROS1,Target,Target-Nervous_system
Nervous_system,CHN1,Target,Target-Nervous_system
Nervous_system,NR4A3,Target,Target-Nervous_system
Nervous_system,SGCE,Target,Target-Nervous_system
Nervous_system,MAS1,Target,Target-Nervous_system
Nervous_system,KIF26A,Target,Target-Nervous_system
Nervous_system,ELP3,Target,Target-Nervous_system
Nervous_system,MBNL1,Target,Target-Nervous_system
Nervous_system,B4GALT6,Target,Target-Nervous_system
Nervous_system,ABAT,Target,Target-Nervous_system
Nervous_system,NRSN1,Target,Target-Nervous_system
Nervous_system,DMBX1,Target,Target-Nervous_system
Nervous_system,ACTL6A,Target,Target-Nervous_system
Nervous_system,NTRK1,Target,Target-Nervous_system
Nervous_system,NHLH2,Target,Target-Nervous_system
Nervous_system,VPS13B,Target,Target-Nervous_system
Nervous_system,SRRM4,Target,Target-Nervous_system
Nervous_system,ACTL6B,Target,Target-Nervous_system
Nervous_system,PAX8,Target,Target-Nervous_system
Nervous_system,DPF1,Target,Target-Nervous_system
Nervous_system,ADGRA2,Target,Target-Nervous_system
Nervous_system,RTN4,Target,Target-Nervous_system
Nervous_system,ID3,Target,Target-Nervous_system
Nervous_system,PHACTR4,Target,Target-Nervous_system
Nervous_system,DDO,Target,Target-Nervous_system
Nervous_system,SLC6A4,Target,Target-Nervous_system
Nervous_system,PAX2,Target,Target-Nervous_system
Nervous_system,GDNF,Target,Target-Nervous_system
Nervous_system,ESS2,Target,Target-Nervous_system
Nervous_system,PHF10,Target,Target-Nervous_system
Nervous_system,TEAD2,Target,Target-Nervous_system
Nervous_system,ASCL1,Target,Target-Nervous_system
Nervous_system,MAG,Target,Target-Nervous_system
Nervous_system,ERBB4,Target,Target-Nervous_system
Nervous_system,NRCAM,Target,Target-Nervous_system
Nervous_system,TFAP2A,Target,Target-Nervous_system
Nervous_system,B4GALT5,Target,Target-Nervous_system
Nervous_system,ADNP2,Target,Target-Nervous_system
Nervous_system,FGF17,Target,Target-Nervous_system
Nervous_system,NEUROG1,Target,Target-Nervous_system
Nervous_system,ZC4H2,Target,Target-Nervous_system
Nervous_system,SARM1,Target,Target-Nervous_system
Nervous_system,INTU,Target,Target-Nervous_system
Nervous_system,POU3F2,Target,Target-Nervous_system
Nervous_system,COL2A1,Target,Target-Nervous_system
Nervous_system,SPTBN1,Target,Target-Nervous_system
Nervous_system,SOX9,Target,Target-Nervous_system
Nervous_system,SOX8,Target,Target-Nervous_system
Nervous_system,SOX4,Target,Target-Nervous_system
Nervous_system,SOX11,Target,Target-Nervous_system
Nervous_system,SOX10,Target,Target-Nervous_system
Nervous_system,SMARCA4,Target,Target-Nervous_system
Nervous_system,MYRF,Target,Target-Nervous_system
Nervous_system,NLGN1,Target,Target-Nervous_system
Nervous_system,ATP6AP2,Target,Target-Nervous_system
Nervous_system,MYT1L,Target,Target-Nervous_system
Nervous_system,DHX30,Target,Target-Nervous_system
Nervous_system,SIRT2,Target,Target-Nervous_system
Nervous_system,NCMAP,Target,Target-Nervous_system
Nervous_system,ABCA2,Target,Target-Nervous_system
Nervous_system,TRIM9,Target,Target-Nervous_system
Nervous_system,MYOC,Target,Target-Nervous_system
Nervous_system,TENM4,Target,Target-Nervous_system
Nervous_system,BRINP1,Target,Target-Nervous_system
Nervous_system,DAG1,Target,Target-Nervous_system
Nervous_system,ADGRG6,Target,Target-Nervous_system
Nervous_system,SPOCK1,Target,Target-Nervous_system
Nervous_system,NTRK2,Target,Target-Nervous_system
Nervous_system,BRINP3,Target,Target-Nervous_system
Nervous_system,NOVA2,Target,Target-Nervous_system
Nervous_system,BRINP2,Target,Target-Nervous_system
Nervous_system,HTR2C,Target,Target-Nervous_system
Nervous_system,NDRG1,Target,Target-Nervous_system
Nervous_system,PRX,Target,Target-Nervous_system
Nervous_system,ARHGAP35,Target,Target-Nervous_system
Nervous_system,PARD3,Target,Target-Nervous_system
Nervous_system,TAOK1,Target,Target-Nervous_system
Nervous_system,PALS1,Target,Target-Nervous_system
Nervous_system,MIOS,Target,Target-Nervous_system
Nervous_system,FGFBP3,Target,Target-Nervous_system
Nervous_system,MYCBP2,Target,Target-Nervous_system
Nervous_system,ZIC3,Target,Target-Nervous_system
Nervous_system,TSHZ3,Target,Target-Nervous_system
Nervous_system,LGALS9,Target,Target-Nervous_system
Nervous_system,SLC22A3,Target,Target-Nervous_system
Nervous_system,TRPV2,Target,Target-Nervous_system
Nervous_system,SLC2A4,Target,Target-Nervous_system
Nervous_system,RHEB,Target,Target-Nervous_system
Nervous_system,NBEA,Target,Target-Nervous_system
Nervous_system,SLC50A1,Target,Target-Nervous_system
Nervous_system,TAAR5,Target,Target-Nervous_system
Nervous_system,PTCHD1,Target,Target-Nervous_system
Nervous_system,NSUN5,Target,Target-Nervous_system
Nervous_system,GPR158,Target,Target-Nervous_system
Nervous_system,BGLAP,Target,Target-Nervous_system
Nervous_system,SETD5,Target,Target-Nervous_system
Nervous_system,FAM107A,Target,Target-Nervous_system
Nervous_system,LTV1,Target,Target-Nervous_system
Nervous_system,UBIAD1,Target,Target-Nervous_system
Nervous_system,TRH,Target,Target-Nervous_system
Nervous_system,EPHB2,Target,Target-Nervous_system
Nervous_system,OSR1,Target,Target-Nervous_system
Nervous_system,OXSR1,Target,Target-Nervous_system
Nervous_system,KIAA1217,Target,Target-Nervous_system
Nervous_system,GATA3,Target,Target-Nervous_system
Nervous_system,SH3PXD2B,Target,Target-Nervous_system
Nervous_system,FOXE1,Target,Target-Nervous_system
Nervous_system,NKX3-1,Target,Target-Nervous_system
Nervous_system,MMP14,Target,Target-Nervous_system
Nervous_system,SULF1,Target,Target-Nervous_system
Nervous_system,XYLT1,Target,Target-Nervous_system
Nervous_system,RAPGEF2,Target,Target-Nervous_system
Nervous_system,NPR3,Target,Target-Nervous_system
Nervous_system,CRB2,Target,Target-Nervous_system
Nervous_system,SULF2,Target,Target-Nervous_system
Nervous_system,LGMN,Target,Target-Nervous_system
Nervous_system,RIPPLY3,Target,Target-Nervous_system
Nervous_system,EPHB3,Target,Target-Nervous_system
Nervous_system,ANPEP,Target,Target-Nervous_system
Nervous_system,FOXI3,Target,Target-Nervous_system
Nervous_system,ECEL1,Target,Target-Nervous_system
Nervous_system,SIX4,Target,Target-Nervous_system
Nervous_system,TBX1,Target,Target-Nervous_system
Nervous_system,MEGF8,Target,Target-Nervous_system
Nervous_system,TRIM72,Target,Target-Nervous_system
Nervous_system,SIX1,Target,Target-Nervous_system
Nervous_system,FUZ,Target,Target-Nervous_system
Nervous_system,DLL3,Target,Target-Nervous_system
Nervous_system,FOXB1,Target,Target-Nervous_system
Nervous_system,SCX,Target,Target-Nervous_system
Nervous_system,NXN,Target,Target-Nervous_system
Nervous_system,DEAF1,Target,Target-Nervous_system
Nervous_system,RAB26,Target,Target-Nervous_system
Nervous_system,ACTN3,Target,Target-Nervous_system
Nervous_system,RAB35,Target,Target-Nervous_system
Nervous_system,NOCT,Target,Target-Nervous_system
Nervous_system,HECA,Target,Target-Nervous_system
Nervous_system,GGT1,Target,Target-Nervous_system
Nervous_system,FTO,Target,Target-Nervous_system
Nervous_system,APLF,Target,Target-Nervous_system
Nervous_system,CDC42EP3,Target,Target-Nervous_system
Nervous_system,CDC42EP2,Target,Target-Nervous_system
Nervous_system,CEP250,Target,Target-Nervous_system
Nervous_system,GLP1R,Target,Target-Nervous_system
Nervous_system,MAPK1,Target,Target-Nervous_system
Nervous_system,GRIN2B,Target,Target-Nervous_system
Nervous_system,GRIN2A,Target,Target-Nervous_system
Nervous_system,KCNA2,Target,Target-Nervous_system
Nervous_system,TAFA2,Target,Target-Nervous_system
Nervous_system,NETO1,Target,Target-Nervous_system
Nervous_system,KCNAB2,Target,Target-Nervous_system
Nervous_system,UBA5,Target,Target-Nervous_system
Nervous_system,SYT11,Target,Target-Nervous_system
