Protein,Neighborhood_1,Compound,Tag
TRPM8,Target,Pain,Target-Pain
SCN4A,Target,Pain,Target-Pain
GABRB2,Target,Pain,Target-Pain
CACNA2D1,Target,Pain,Target-Pain
TRPV1,Target,Pain,Target-Pain
OPRM1,Target,Pain,Target-Pain
PTGS2,Target,Pain,Target-Pain
FA2H,Target,Pain,Target-Pain
FAAH,Target,Pain,Target-Pain
SCN9A,Target,Pain,Target-Pain
SCN3A,Target,Pain,Target-Pain
SCN10A,Target,Pain,Target-Pain
SCN11A,Target,Pain,Target-Pain
OPRD1,Target,Pain,Target-Pain
SCN8A,Target,Pain,Target-Pain
OPRK1,Target,Pain,Target-Pain
PTGS1,Target,Pain,Target-Pain
SCN2A,Target,Pain,Target-Pain
SCN5A,Target,Pain,Target-Pain
SCN1A,Target,Pain,Target-Pain
SCN7A,Target,Pain,Target-Pain
TRPA1,Target,Pain,Target-Pain
SLC6A2,Target,Pain,Target-Pain
SIGMAR1,Target,Pain,Target-Pain
ADRA2B,Target,Pain,Target-Pain
ADRA2A,Target,Pain,Target-Pain
ADRA2C,Target,Pain,Target-Pain
SLC6A4,Target,Pain,Target-Pain
ADRB2,Target,Pain,Target-Pain
ADRA1D,Target,Pain,Target-Pain
ADRA1A,Target,Pain,Target-Pain
ADRB1,Target,Pain,Target-Pain
ADRB3,Target,Pain,Target-Pain
ADRA1B,Target,Pain,Target-Pain
ADORA2A,Target,Pain,Target-Pain
ADORA3,Target,Pain,Target-Pain
ADORA1,Target,Pain,Target-Pain
GABRG2,Target,Pain,Target-Pain
GABRA1,Target,Pain,Target-Pain
GABRG3,Target,Pain,Target-Pain
GABRA3,Target,Pain,Target-Pain
GABRA2,Target,Pain,Target-Pain
GABRA5,Target,Pain,Target-Pain
GABRG1,Target,Pain,Target-Pain
ADORA2B,Target,Pain,Target-Pain
GABRB1,Target,Pain,Target-Pain
GABRQ,Target,Pain,Target-Pain
GABRB3,Target,Pain,Target-Pain
GABRE,Target,Pain,Target-Pain
GABRA4,Target,Pain,Target-Pain
GABRA6,Target,Pain,Target-Pain
GABRD,Target,Pain,Target-Pain
GABRP,Target,Pain,Target-Pain
